narr86,nfarr86,nparr86,pcnv,avgsen,tottime,ptime86,qemp86,inc86,durat,black,hispan,born60,pcnvsq,pt86sq,inc86sq,arr86
0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0
2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,.56999999,0,0,0,4,91.5,0,0,0,1,.3249,0,8372.25,0
2,1,1,.41,0,0,0,1,1.8,13,0,1,0,.1681,0,3.2399998,1
1,1,1,0,0,0,0,4,144,0,1,0,0,0,0,20736,1
0,0,0,.1,0,0,0,4,45.599998,0,0,1,0,.010000001,0,2079.3599,0
0,0,0,1,0,0,0,4,66.5,0,0,0,1,1,0,4422.25,0
1,1,0,.82999998,0,0,0,1,6.1999998,0,0,1,1,.68889999,0,38.439999,1
1,1,0,0,0,0,0,4,90.099998,0,0,0,1,0,0,8118.0098,1
0,0,0,.33000001,0,0,8,0,0,2,1,0,1,.10890001,64,0,0
0,0,0,0,0,0,0,4,169.3,0,0,0,0,0,0,28662.49,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,.5,0,0,0,0,0,11,0,0,0,.25,0,0,0
0,0,0,.33000001,0,0,12,0,0,0,0,1,1,.10890001,144,0,0
1,0,0,.33000001,0,0,0,0,0,1,1,0,1,.10890001,0,0,1
0,0,0,.60000002,6.1999998,6.1999998,0,0,0,5,0,0,1,.36000001,0,0,0
1,0,1,0,0,0,0,1,17.200001,13,0,0,1,0,0,295.84003,1
0,0,0,1,0,0,0,2,3.3,12,0,0,0,1,0,10.889999,0
1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1
1,1,0,.33000001,12.9,25.799999,6,0,0,1,1,0,1,.10890001,36,0,1
0,0,0,0,0,0,0,4,103.7,0,0,0,1,0,0,10753.689,0
0,0,0,1,11.8,35.400002,12,0,0,0,1,0,0,1,144,0,0
0,0,0,.5,5.5999999,5.5999999,0,4,60.700001,0,0,0,1,.25,0,3684.49,0
1,1,0,.5,0,0,0,4,51.799999,0,0,1,0,.25,0,2683.24,1
3,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
3,2,1,.5,0,0,0,0,0,8,0,1,0,.25,0,0,1
0,0,0,1,0,0,0,2,46.200001,15,0,0,1,1,0,2134.4402,0
0,0,0,.25,0,0,0,1,3.8,0,0,0,0,.0625,0,14.44,0
1,1,0,1,0,0,0,2,14.3,3,0,0,1,1,0,204.49001,1
1,0,0,.33000001,0,0,0,1,.89999998,0,0,1,1,.10890001,0,.80999994,1
0,0,0,.43000001,0,0,0,0,0,12,0,1,0,.1849,0,0,0
0,0,0,.25,0,0,0,4,58.200001,0,0,1,0,.0625,0,3387.24,0
0,0,0,.2,0,0,0,0,0,9,0,0,0,.040000003,0,0,0
0,0,0,0,0,0,0,4,50.400002,0,1,0,0,0,0,2540.1602,0
2,2,2,.54000002,5.5,11,0,3,37.599998,1,1,0,1,.29160002,0,1413.7599,1
1,0,1,.5,0,0,0,1,.5,7,0,0,1,.25,0,.25,1
0,0,0,.75,0,0,0,0,0,3,1,0,1,.5625,0,0,0
2,2,1,.090000004,0,0,0,0,0,6,1,0,0,.0081000002,0,0,1
0,0,0,.17,0,0,0,4,263.79999,0,1,0,1,.028900001,0,69590.43,0
1,1,0,.2,0,0,0,3,41,0,1,0,1,.040000003,0,1681,1
0,0,0,.43000001,0,0,0,2,7.5999999,0,0,0,1,.1849,0,57.759998,0
0,0,0,.25,0,0,0,4,108.3,0,0,0,1,.0625,0,11728.891,0
0,0,0,0,20.299999,20.299999,0,3,82.5,0,0,0,1,0,0,6806.25,0
2,1,0,.33000001,0,0,0,1,28.4,19,1,0,1,.10890001,0,806.56,1
2,1,1,.44999999,9.5,9.5,0,4,80.300003,0,1,0,1,.20249999,0,6448.0903,1
1,0,0,.28999999,0,0,0,4,138.89999,0,0,1,0,.084099993,0,19293.209,1
0,0,0,.40000001,0,0,12,0,0,0,0,1,0,.16000001,144,0,0
0,0,0,.67000002,0,0,0,0,0,6,1,0,0,.44890001,0,0,0
0,0,0,0,0,0,0,4,90.699997,0,0,0,1,0,0,8226.4893,0
2,1,1,0,0,0,0,1,8.6000004,0,0,0,0,0,0,73.960007,1
5,3,4,0,0,0,0,3,22.4,0,0,1,0,0,0,501.75998,1
1,1,1,.38,0,0,0,4,53,0,0,0,0,.1444,0,2809,1
5,2,2,.27000001,0,0,0,1,.69999999,2,0,1,0,.072900005,0,.48999998,1
0,0,0,.40000001,0,0,0,0,0,9,1,0,0,.16000001,0,0,0
2,2,1,.5,0,0,0,4,24.799999,0,0,1,0,.25,0,615.03998,1
1,1,1,.60000002,0,0,0,0,0,19,0,0,0,.36000001,0,0,1
0,0,0,1,0,0,0,4,131.2,0,0,0,1,1,0,17213.439,0
0,0,0,0,0,0,0,4,144.60001,0,0,0,0,0,0,20909.162,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,0,0,0,0,0,2,6.1999998,0,1,0,1,0,0,38.439999,1
0,0,0,.56999999,18.4,36.799999,2,1.8,5.5999999,10.9,0,1,0,.3249,4,31.359999,0
0,0,0,1,0,0,0,1,3.4000001,17,0,0,0,1,0,11.56,0
0,0,0,.5,0,0,0,3,37.5,6,0,0,0,.25,0,1406.25,0
0,0,0,.5,0,0,0,0,0,10,0,0,0,.25,0,0,0
0,0,0,.33000001,18.4,18.4,0,0,0,2,0,0,0,.10890001,0,0,0
0,0,0,.33000001,0,0,0,0,0,3,0,1,1,.10890001,0,0,0
0,0,0,.5,0,0,0,4,89.900002,0,0,0,1,.25,0,8082.0103,0
0,0,0,.5,11,11,0,0,0,7,0,1,1,.25,0,0,0
0,0,0,.2,0,0,0,4,21.5,0,0,1,1,.040000003,0,462.25,0
0,0,0,0,0,0,0,4,164.89999,0,0,1,0,0,0,27192.008,0
1,1,1,.63,8.8999996,8.8999996,7,0,0,1.9,0,0,1,.3969,49,0,1
0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0
1,1,1,0,0,0,2,2,9.6999998,0,0,1,0,0,4,94.089996,1
2,1,0,.28999999,21.700001,21.700001,0,2,18.9,0,0,1,1,.084099993,0,357.20999,1
0,0,0,.25,24.6,49.200001,0,1,9.6000004,12.9,0,0,0,.0625,0,92.160004,0
0,0,0,1,0,0,0,1,.69999999,17,0,0,1,1,0,.48999998,0
2,2,0,0,0,0,0,1,29.299999,1,0,0,1,0,0,858.48993,1
2,2,0,.14,13.4,13.4,0,1,1,0,1,0,1,.0196,0,1,1
0,0,0,0,18.4,18.4,0,1,21.299999,3,0,0,0,0,0,453.68997,0
0,0,0,.5,0,0,0,4,33.400002,0,0,1,0,.25,0,1115.5601,0
0,0,0,0,0,0,0,4,117.8,0,0,0,1,0,0,13876.841,0
0,0,0,.33000001,0,0,0,2,29.1,0,0,0,1,.10890001,0,846.81,0
0,0,0,1,0,0,0,4,240.8,0,0,0,1,1,0,57984.641,0
0,0,0,0,0,0,0,4,140.60001,0,0,0,1,0,0,19768.361,0
0,0,0,1,0,0,0,4,148.3,0,0,0,1,1,0,21992.891,0
0,0,0,.75,0,0,0,4,14.7,0,0,0,1,.5625,0,216.09,0
0,0,0,.82999998,7.8000002,31.200001,0,2,10.5,0,0,0,1,.68889999,0,110.25,0
0,0,0,0,0,0,0,1,7.9000001,7,0,0,0,0,0,62.41,0
1,0,0,.31,0,0,0,0,0,23,0,0,1,.096100003,0,0,1
2,1,0,.5,0,0,0,1,6.1999998,0,0,1,1,.25,0,38.439999,1
1,0,0,.5,0,0,0,0,0,2,0,1,1,.25,0,0,1
0,0,0,.5,0,0,0,0,0,3,1,0,0,.25,0,0,0
1,1,1,1,0,0,0,2,2.9000001,1,0,0,0,1,0,8.4100008,1
0,0,0,.25,18.5,18.5,11,0,0,1,1,0,0,.0625,121,0,0
0,0,0,.67000002,0,0,0,2,2.9000001,0,0,0,1,.44890001,0,8.4100008,0
0,0,0,.67000002,0,0,0,1,4.0999999,0,0,0,1,.44890001,0,16.809999,0
3,3,0,.33000001,11.9,11.9,0,0,0,1,0,0,0,.10890001,0,0,1
0,0,0,.17,10.9,10.9,9,0,0,4,0,1,1,.028900001,81,0,0
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
1,1,0,.33000001,0,0,0,0,0,20,1,0,0,.10890001,0,0,1
0,0,0,.5,0,0,0,0,0,4,0,0,1,.25,0,0,0
0,0,0,.33000001,0,0,0,1,.2,0,0,0,1,.10890001,0,.040000003,0
0,0,0,0,0,0,0,3,61.299999,0,0,0,0,0,0,3757.6899,0
0,0,0,0,0,0,0,4,276.20001,0,0,1,1,0,0,76286.445,0
0,0,0,.25,9.1000004,9.1000004,12,0,0,0,1,0,0,.0625,144,0,0
0,0,0,.5,0,0,0,4,52.400002,0,0,0,0,.25,0,2745.7603,0
2,2,1,.41999999,6.6999998,6.6999998,3,0,0,22,0,0,1,.17639999,9,0,1
0,0,0,.56999999,14.4,14.4,0,4,34.5,0,0,0,1,.3249,0,1190.25,0
0,0,0,1,0,0,0,4,80.900002,0,0,0,1,1,0,6544.8101,0
0,0,0,.40000001,10.6,21.200001,12,0,0,0,0,0,0,.16000001,144,0,0
0,0,0,.5,0,0,0,4,121.1,0,0,1,1,.25,0,14665.21,0
0,0,0,1,0,0,0,4,182.60001,0,0,0,1,1,0,33342.762,0
0,0,0,1,0,0,0,0,0,6,0,1,1,1,0,0,0
0,0,0,.33000001,0,0,0,0,0,1,0,0,1,.10890001,0,0,0
0,0,0,.5,0,0,0,3,44.599998,0,0,0,1,.25,0,1989.1599,0
2,0,0,.82999998,0,0,0,2,26.1,5,0,1,1,.68889999,0,681.21002,1
0,0,0,.25,0,0,0,1,.80000001,1,0,0,1,.0625,0,.64000005,0
0,0,0,.5,0,0,12,0,0,0,0,0,1,.25,144,0,0
0,0,0,0,0,0,0,4,185.5,0,0,0,0,0,0,34410.25,0
0,0,0,.80000001,0,0,0,0,0,6,0,0,1,.64000005,0,0,0
0,0,0,.67000002,0,0,0,4,97.699997,0,0,1,1,.44890001,0,9545.2891,0
4,2,2,1,21.799999,43.599998,0,2,25.799999,0,0,1,0,1,0,665.63995,1
1,0,0,.5,0,0,0,2,1.8,5,1,0,0,.25,0,3.2399998,1
0,0,0,0,0,0,0,4,166.5,0,0,0,1,0,0,27722.25,0
2,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1
1,1,1,1,0,0,0,3,71.099998,1,1,0,0,1,0,5055.21,1
0,0,0,.33000001,0,0,0,3,9.1999998,0,1,0,1,.10890001,0,84.639999,0
0,0,0,.67000002,11.4,11.4,0,4,210.60001,0,0,0,1,.44890001,0,44352.363,0
1,1,0,0,0,0,0,4,282.39999,0,0,1,0,0,0,79749.758,1
0,0,0,.67000002,0,0,0,0,0,3,0,0,1,.44890001,0,0,0
1,0,0,0,0,0,0,4,25.700001,0,1,0,0,0,0,660.49005,1
2,2,2,.40000001,0,0,0,2,34.900002,0,0,0,1,.16000001,0,1218.0101,1
0,0,0,.33000001,0,0,0,4,58.700001,0,0,0,1,.10890001,0,3445.6902,0
0,0,0,.5,0,0,0,4,108.3,0,1,0,1,.25,0,11728.891,0
0,0,0,.5,0,0,0,0,0,9,0,0,1,.25,0,0,0
0,0,0,0,0,0,0,3,15.7,4,0,0,1,0,0,246.48999,0
1,1,0,.28999999,0,0,0,0,0,2,1,0,1,.084099993,0,0,1
3,2,0,.5,0,0,0,3,37.200001,0,0,1,0,.25,0,1383.8401,1
0,0,0,.22,0,0,0,3,84.800003,0,0,0,0,.0484,0,7191.0405,0
0,0,0,.13,12.7,38.099998,12,0,0,0,0,1,0,.016899999,144,0,0
0,0,0,.33000001,0,0,0,2,9.5,1,0,1,1,.10890001,0,90.25,0
0,0,0,.40000001,0,0,0,4,54.799999,0,0,1,1,.16000001,0,3003.0398,0
0,0,0,.2,0,0,0,1,2,22,0,0,1,.040000003,0,4,0
0,0,0,.33000001,14.2,14.2,0,4,76.300003,0,0,1,0,.10890001,0,5821.6904,0
1,0,1,1,0,0,0,0,0,4,0,0,1,1,0,0,1
1,1,0,.5,0,0,0,4,103.7,0,0,0,1,.25,0,10753.689,1
0,0,0,1,0,0,0,4,148.2,0,0,0,1,1,0,21963.238,0
0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0
0,0,0,.5,0,0,0,4,183.39999,0,0,0,1,.25,0,33635.559,0
0,0,0,.67000002,10.7,21.4,0,4,117.6,0,0,1,1,.44890001,0,13829.76,0
1,1,1,.70999998,0,0,0,4,24.799999,0,0,1,0,.50409997,0,615.03998,1
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
0,0,0,.33000001,0,0,0,1,.80000001,15,0,1,1,.10890001,0,.64000005,0
0,0,0,.40000001,0,0,0,4,108.8,0,0,1,1,.16000001,0,11837.44,0
0,0,0,1,0,0,0,4,220.3,0,0,0,1,1,0,48532.09,0
1,0,0,0,0,0,0,3,56.299999,0,0,0,1,0,0,3169.6899,1
0,0,0,1,0,0,0,4,176.39999,0,0,0,1,1,0,31116.957,0
0,0,0,0,0,0,0,2,28.299999,0,0,0,1,0,0,800.88995,0
1,0,0,.80000001,0,0,0,3,51.799999,1,0,1,1,.64000005,0,2683.24,1
0,0,0,1,0,0,0,4,178.2,0,0,0,1,1,0,31755.238,0
1,0,0,0,0,0,0,4,176.10001,0,1,0,1,0,0,31011.213,1
1,1,1,1,0,0,0,4,142.39999,0,0,0,1,1,0,20277.758,1
0,0,0,1,0,0,0,2,23.799999,8,0,0,1,1,0,566.43994,0
3,0,0,.33000001,0,0,0,4,176.5,0,1,0,1,.10890001,0,31152.25,1
0,0,0,0,0,0,0,4,75.199997,0,0,0,1,0,0,5655.0396,0
0,0,0,.5,0,0,0,0,0,3,0,1,1,.25,0,0,0
0,0,0,.60000002,0,0,12,0,0,0,0,1,0,.36000001,144,0,0
2,1,0,.33000001,0,0,0,4,145.39999,0,0,1,0,.10890001,0,21141.158,1
1,1,1,0,0,0,0,0,0,9,1,0,1,0,0,0,1
1,1,0,.33000001,0,0,0,0,0,19,1,0,1,.10890001,0,0,1
0,0,0,1,0,0,0,4,237.7,0,0,0,1,1,0,56501.289,0
0,0,0,0,0,0,0,4,195.7,0,0,0,1,0,0,38298.488,0
1,1,0,0,0,0,0,4,53.799999,0,0,0,1,0,0,2894.4399,1
1,0,0,.40000001,0,0,0,2,33.200001,2,0,0,0,.16000001,0,1102.24,1
2,1,0,0,19.299999,19.299999,0,3,10.1,9,1,0,0,0,0,102.01001,1
0,0,0,.44,10,20,0,4,262.70001,0,0,0,1,.1936,0,69011.297,0
0,0,0,0,0,0,0,4,81.300003,0,0,0,1,0,0,6609.6904,0
0,0,0,.43000001,22,22,0,3,5.6999998,5.5,1,0,1,.1849,0,32.489998,0
0,0,0,1,0,0,0,2,25.9,0,0,0,1,1,0,670.81,0
1,0,0,.33000001,9.6999998,19.4,0,2,21,0,1,0,1,.10890001,0,441,1
0,0,0,0,0,0,0,2,16.4,1,0,0,1,0,0,268.95999,0
1,0,0,.44,0,0,0,4,35.700001,0,1,0,1,.1936,0,1274.4901,1
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,1,0,0,0,4,263.60001,0,0,0,1,1,0,69484.961,0
0,0,0,.2,0,0,0,4,133.8,0,0,1,1,.040000003,0,17902.441,0
0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
0,0,0,.17,0,0,0,0,0,2,0,1,1,.028900001,0,0,0
1,1,0,.33000001,6.0999999,12.2,0,1,6.0999999,0,0,1,1,.10890001,0,37.209999,1
2,2,0,0,0,0,0,3,20.700001,0,0,1,1,0,0,428.49002,1
1,1,0,.33000001,0,0,0,2,10,1,0,0,1,.10890001,0,100,1
2,1,0,1,0,0,0,4,80,0,0,0,1,1,0,6400,1
0,0,0,0,0,0,0,1,21.9,22,0,0,1,0,0,479.60999,0
0,0,0,.43000001,0,0,12,0,0,0,0,1,0,.1849,144,0,0
0,0,0,.62,0,0,0,0,0,13,0,0,1,.38440001,0,0,0
3,1,1,1,0,0,0,2,23.299999,0,0,0,1,1,0,542.88995,1
0,0,0,1,0,0,0,4,64.099998,0,0,0,1,1,0,4108.8096,0
0,0,0,.5,0,0,0,3,21.6,0,0,1,1,.25,0,466.56003,0
0,0,0,.40000001,14.8,29.6,0,4,32.599998,0,0,1,0,.16000001,0,1062.7599,0
0,0,0,.5,0,0,0,3,51.200001,0,0,1,1,.25,0,2621.4402,0
0,0,0,.56999999,0,0,0,3,123.1,0,0,1,1,.3249,0,15153.609,0
0,0,0,.33000001,0,0,0,0,0,4,0,0,1,.10890001,0,0,0
1,1,1,0,0,0,0,0,0,9,1,0,0,0,0,0,1
0,0,0,.33000001,0,0,0,3,29.5,3,0,0,1,.10890001,0,870.25,0
0,0,0,1,0,0,0,0,0,3,1,0,1,1,0,0,0
0,0,0,0,0,0,0,1,45.799999,3,0,0,1,0,0,2097.6399,0
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,0,0,.56999999,0,0,0,0,0,22,0,0,1,.3249,0,0,0
0,0,0,.33000001,0,0,0,1,1.9,5,0,0,1,.10890001,0,3.6099999,0
0,0,0,.5,0,0,0,4,230.10001,0,0,0,1,.25,0,52946.012,0
1,1,0,0,0,0,0,3,31.4,0,1,0,1,0,0,985.95996,1
1,0,0,.22,13.7,13.7,0,0,0,11,0,1,1,.0484,0,0,1
0,0,0,.60000002,0,0,12,0,0,0,0,0,1,.36000001,144,0,0
2,1,2,.5,0,0,0,2,11.6,0,0,1,0,.25,0,134.56001,1
0,0,0,.80000001,15,30,7,0,0,11.4,0,0,0,.64000005,49,0,0
1,0,0,0,0,0,0,3,28.299999,0,0,0,1,0,0,800.88995,1
3,3,2,.5,0,0,0,1,3.8,5,0,0,1,.25,0,14.44,1
0,0,0,.28999999,0,0,0,4,285.20001,0,0,0,1,.084099993,0,81339.047,0
0,0,0,.5,0,0,0,2,18,0,0,0,1,.25,0,324,0
1,0,0,.44,12.4,12.4,2,1,.2,5,0,1,1,.1936,4,.040000003,1
0,0,0,0,0,0,0,4,155.60001,0,0,0,1,0,0,24211.361,0
0,0,0,.5,0,0,0,3,114,0,0,1,1,.25,0,12996,0
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,.5,0,0,0,4,345,0,0,0,1,.25,0,119025,0
1,1,1,.38,0,0,0,0,0,5,0,1,1,.1444,0,0,1
0,0,0,0,0,0,0,4,209,0,0,1,1,0,0,43681,0
0,0,0,.5,0,0,12,0,0,0,0,0,1,.25,144,0,0
0,0,0,.30000001,0,0,0,1,.2,9,0,0,0,.090000004,0,.040000003,0
0,0,0,.5,0,0,0,0,0,2,0,0,0,.25,0,0,0
0,0,0,.40000001,0,0,0,0,0,12,1,0,0,.16000001,0,0,0
0,0,0,.67000002,0,0,0,4,55.900002,0,0,0,1,.44890001,0,3124.8101,0
0,0,0,.33000001,8.6000004,8.6000004,0,3,14,0,0,1,1,.10890001,0,196,0
0,0,0,1,0,0,0,4,295.89999,0,0,1,1,1,0,87556.805,0
0,0,0,1,0,0,0,4,243.10001,0,0,0,1,1,0,59097.613,0
0,0,0,1,0,0,0,1,20.1,0,0,0,1,1,0,404.01001,0
0,0,0,0,0,0,0,2,45.900002,2,1,0,1,0,0,2106.8101,0
1,0,0,.33000001,0,0,0,4,187.8,0,0,0,1,.10890001,0,35268.84,1
0,0,0,.079999998,0,0,0,0,0,2,1,0,1,.0063999998,0,0,0
0,0,0,.38,9.6000004,9.6000004,6,1,1.3,0,1,0,0,.1444,36,1.6899998,0
0,0,0,.67000002,0,0,0,4,90.5,0,0,1,0,.44890001,0,8190.25,0
0,0,0,1,0,0,0,4,166.2,0,0,0,1,1,0,27622.439,0
1,1,0,.60000002,0,0,0,4,28.799999,0,0,1,1,.36000001,0,829.43994,1
1,1,0,1,0,0,0,2,16.200001,4,0,0,1,1,0,262.44003,1
0,0,0,0,0,0,0,4,142.3,0,0,0,1,0,0,20249.291,0
0,0,0,.5,0,0,0,1,3.5,0,0,0,1,.25,0,12.25,0
0,0,0,.40000001,0,0,0,1,1,12,0,1,1,.16000001,0,1,0
0,0,0,.75,0,0,0,4,94.5,0,0,0,1,.5625,0,8930.25,0
0,0,0,1,0,0,0,4,188,0,0,0,1,1,0,35344,0
0,0,0,0,0,0,0,1,6.8000002,14,0,0,1,0,0,46.240002,0
0,0,0,.5,0,0,0,3,36,0,0,1,1,.25,0,1296,0
0,0,0,.56999999,0,0,0,0,0,1,0,0,1,.3249,0,0,0
0,0,0,.25,0,0,0,4,230.8,0,0,0,1,.0625,0,53268.641,0
0,0,0,.5,0,0,0,4,180.3,0,0,0,1,.25,0,32508.092,0
0,0,0,1,0,0,0,3,68.900002,0,0,0,1,1,0,4747.2104,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,.28999999,0,0,11,0,0,0,0,0,1,.084099993,121,0,0
0,0,0,.5,0,0,0,2,21.299999,0,0,0,1,.25,0,453.68997,0
0,0,0,1,0,0,0,4,128.89999,0,0,0,1,1,0,16615.209,0
0,0,0,.17,0,0,0,3,28.299999,0,0,1,0,.028900001,0,800.88995,0
0,0,0,0,0,0,0,4,81,0,0,1,0,0,0,6561,0
4,0,0,.36000001,0,0,3,0,0,8,0,1,1,.1296,9,0,1
0,0,0,.5,0,0,0,3,111.2,2,0,0,1,.25,0,12365.439,0
0,0,0,.5,0,0,0,3,40.5,3,0,1,1,.25,0,1640.25,0
0,0,0,.28999999,0,0,0,4,56.700001,0,0,0,1,.084099993,0,3214.8901,0
2,2,0,.5,0,0,0,3,20,0,0,1,1,.25,0,400,1
0,0,0,.33000001,0,0,0,4,141.3,0,0,0,1,.10890001,0,19965.691,0
0,0,0,1,0,0,0,4,78.800003,0,0,1,1,1,0,6209.4404,0
1,1,1,.67000002,0,0,0,1,5.3000002,1,1,0,1,.44890001,0,28.090002,1
0,0,0,.5,0,0,0,4,25.6,0,0,0,0,.25,0,655.36005,0
0,0,0,0,0,0,0,4,229.2,0,0,0,1,0,0,52532.637,0
0,0,0,1,0,0,0,4,37.700001,0,0,0,1,1,0,1421.29,0
0,0,0,.67000002,0,0,0,4,224.7,0,0,0,1,.44890001,0,50490.09,0
0,0,0,.5,0,0,0,1,14.7,0,0,0,1,.25,0,216.09,0
0,0,0,0,0,0,0,4,94.800003,0,0,0,1,0,0,8987.041,0
0,0,0,.36000001,0,0,0,2,28.6,2,0,0,1,.1296,0,817.96002,0
0,0,0,.11,0,0,0,3,27.9,0,0,0,1,.0121,0,778.40997,0
0,0,0,.5,15.7,15.7,0,3,70,0,0,0,1,.25,0,4900,0
0,0,0,.25,0,0,0,4,98.900002,0,0,0,1,.0625,0,9781.21,0
0,0,0,.33000001,11.7,11.7,2,3.4000001,64.300003,0,0,0,0,.10890001,4,4134.4902,0
0,0,0,.33000001,0,0,0,3,54.799999,1,0,0,1,.10890001,0,3003.0398,0
0,0,0,0,0,0,0,4,219.2,0,0,0,1,0,0,48048.637,0
0,0,0,.41999999,0,0,0,0,0,2,0,1,1,.17639999,0,0,0
0,0,0,.5,0,0,0,4,89.800003,0,0,1,1,.25,0,8064.0405,0
0,0,0,0,0,0,0,2,1.3,1,1,0,1,0,0,1.6899998,0
0,0,0,0,0,0,0,4,44.400002,0,1,0,0,0,0,1971.3601,0
2,0,0,.25,0,0,0,3,51.400002,2,1,0,0,.0625,0,2641.9602,1
0,0,0,0,0,0,12,0,0,0,1,0,0,0,144,0,0
1,0,0,.5,0,0,0,2,51.700001,1,0,0,1,.25,0,2672.8901,1
