caseid,art,female,married,kid5,phd,mentor,arttrunc,kid5_0,kid5_1,kid5_2plus,kid5cat,male,phdadeq,phdcat,phdelite,phdgood,phdstrong,profage
893,6,Male,Single,0,1.97,4,6,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,26.953514
663,2,Male,Married,1,2.52,10,2,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,28.357479
588,2,Male,Married,2,4.29,10,2,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,30.776464
230,0,Male,Married,0,2.3199999,4,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,34.163204
586,2,Male,Married,1,1.52,3,2,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,24.518417
643,2,Male,Married,0,4.29,17,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,26.827286
775,3,Male,Married,0,3.47,8,3,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,32.643749
583,2,Male,Married,1,3.1500001,7,2,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,31.199745
305,1,Male,Married,1,3.5899999,5,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,31.765638
464,1,Male,Single,0,2.05,3,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,30.284811
185,0,Male,Single,0,2.26,5,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,26.155151
577,2,Male,Married,0,1.52,5,2,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,33.612274
364,1,Male,Single,0,2.1500001,10,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,28.934515
821,4,Male,Married,2,4.54,21,4,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,29.84293
345,1,Male,Married,2,1.74,4,1,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,30.853565
862,5,Male,Married,1,2.96,4,5,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,28.629534
446,1,Male,Married,1,2.0999999,8,1,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,26.069025
541,2,Male,Single,0,3.6900001,26,2,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,30.483786
289,1,Male,Married,1,2.6099999,6,1,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,30.223711
567,2,Male,Married,0,1.1799999,0,2,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,27.259958
732,3,Male,Married,2,1.95,3,3,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,35.686169
383,1,Male,Married,2,4.29,6,1,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,26.913353
511,1,Male,Single,0,2.76,7,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,24.515303
412,1,Male,Married,1,3.5899999,6,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,32.702988
561,2,Male,Married,0,4.1399999,16,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,31.682589
4,0,Male,Married,1,1.1799999,3,,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,32.268265
658,2,Male,Married,0,2.0999999,2,2,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,33.875084
607,2,Male,Married,1,2.76,8,2,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,29.985357
660,2,Male,Married,1,2.0999999,3,2,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,33.07901
864,5,Male,Married,0,4.29,30,5,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,35.558537
53,0,Male,Married,2,2.96,12,,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,39.309467
560,2,Male,Married,0,2.76,3,2,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,27.92485
455,1,Male,Married,1,4.54,45,1,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,35.541805
494,1,Male,Married,0,3.54,11,1,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,30.661335
150,0,Male,Married,3,3.5899999,7,,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,24.868443
423,1,Male,Married,2,1.75,1,1,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,23.434694
378,1,Male,Single,0,3.3599999,10,1,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,25.247841
669,2,Male,Single,0,4.54,55,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,30.527527
74,0,Male,Single,0,4.29,2,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,27.879618
606,2,Male,Married,0,4.29,24,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,33.700581
222,0,Male,Single,0,2.8599999,3,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,28.497791
778,3,Male,Married,2,2.0999999,4,3,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,32.055477
128,0,Male,Married,0,3.21,2,,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,27.507099
390,1,Male,Married,3,2.96,6,1,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,31.398115
537,2,Male,Married,1,4.29,13,2,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,27.017174
425,1,Male,Married,3,3.1500001,11,1,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,28.037088
671,2,Male,Married,1,3.4200001,3,2,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,30.463152
675,2,Male,Married,0,4.6199999,3,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,30.382092
114,0,Male,Married,0,2.54,5,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,34.963161
420,1,Male,Married,0,3.5899999,12,1,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,35.140186
676,2,Male,Married,2,1.86,6,2,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,34.133987
439,1,Male,Single,0,2.76,6,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,28.960957
683,2,Male,Married,1,1.25,2,2,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,30.513803
848,4,Male,Married,0,1.505,4,4,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,25.878201
915,19,Male,Married,0,1.86,42,19,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,26.294035
863,5,Male,Married,0,4.54,13,5,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,23.320185
801,4,Male,Married,2,1.72,2,4,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,23.823
290,1,Male,Married,0,4.25,12,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,33.940796
315,1,Male,Single,0,1.86,15,1,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,30.308477
330,1,Male,Married,1,1.74,4,1,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,22.576199
311,1,Male,Married,2,2.96,0,1,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,25.360151
873,5,Male,Married,0,1.25,2,5,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,31.384592
430,1,Male,Married,2,4.29,0,1,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,26.874592
291,1,Male,Single,0,2.3599999,14,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,26.856564
754,3,Male,Married,0,4.29,15,3,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.553247
514,1,Male,Married,1,3.5899999,19,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,26.303953
129,0,Male,Single,0,2.0999999,0,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,30.832512
799,4,Male,Married,1,2.96,57,4,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,24.698698
328,1,Male,Married,1,1.78,77,1,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,32.731247
510,1,Male,Married,1,3.47,1,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,32.25267
888,6,Male,Married,1,3.8499999,16,6,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,29.810726
321,1,Male,Married,0,1.75,3,1,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,31.480665
505,1,Male,Married,1,1.22,0,1,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,26.370897
60,0,Male,Single,0,2.96,0,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,28.104673
201,0,Male,Married,2,4.1399999,12,,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,31.126661
307,1,Male,Single,0,3.4000001,6,1,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,32.205597
793,4,Male,Married,0,4.29,2,4,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,31.798161
806,4,Male,Married,0,3.47,4,4,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,24.377064
881,6,Male,Married,0,4.3400002,9,6,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,27.302866
703,3,Male,Married,2,4.54,31,3,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,29.120333
856,5,Male,Married,0,4.3400002,6,5,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.961323
548,2,Male,Married,0,3.4000001,9,2,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,29.235006
96,0,Male,Married,0,1.52,7,,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,32.167656
83,0,Male,Married,1,3.4000001,18,,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,29.42028
183,0,Male,Single,0,4.54,8,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,32.767628
211,0,Male,Married,2,3.3399999,1,,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,34.032627
105,0,Male,Married,2,1.8099999,1,,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,30.523855
18,0,Male,Married,2,4.29,13,,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,30.549511
807,4,Male,Single,0,3.4100001,7,4,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,28.9998
798,4,Male,Single,0,3.4100001,21,4,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,29.282463
682,2,Male,Married,0,2.55,24,2,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,29.444788
769,3,Male,Married,1,3.5899999,14,3,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,30.189131
355,1,Male,Married,1,1.63,8,1,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,25.628811
849,4,Male,Married,2,2.5799999,6,4,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,28.109821
702,3,Male,Single,0,4.6199999,8,3,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.431355
796,4,Male,Single,0,4.54,5,4,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,27.976467
610,2,Male,Married,2,2.21,12,2,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,25.553131
626,2,Male,Married,0,2.51,5,2,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,28.463125
377,1,Male,Single,0,4.29,2,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,27.040634
115,0,Male,Married,2,2.1500001,4,,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,27.129921
51,0,Male,Single,0,4.54,5,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,35.443378
467,1,Male,Single,0,4.29,10,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.274822
89,0,Male,Married,0,4.29,19,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.196323
465,1,Male,Married,0,4.29,1,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,32.353535
784,4,Male,Married,0,2.8299999,5,4,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,27.340586
902,7,Male,Married,0,3.6900001,9,7,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,32.493008
714,3,Male,Married,0,2.96,8,3,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,33.92313
854,5,Male,Married,1,3.1500001,5,5,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,32.452015
25,0,Male,Married,3,2.76,1,,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,29.680487
419,1,Male,Married,0,4.54,2,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,29.302736
907,8,Male,Married,0,2.51,11,8,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,29.327673
24,0,Male,Married,1,2.8599999,4,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,27.115183
547,2,Male,Married,1,4.54,53,2,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,32.608952
67,0,Male,Married,0,4.54,10,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.303871
914,16,Male,Married,0,1.74,21,16,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,31.486765
620,2,Male,Married,2,4.3400002,17,2,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,31.807371
448,1,Male,Married,1,2.26,5,1,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,21.530651
566,2,Male,Married,1,2.3900001,4,2,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,35.210663
45,0,Male,Single,0,2.0999999,6,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,31.467663
486,1,Male,Married,0,2.5,0,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,28.225021
713,3,Male,Married,0,4.54,37,3,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,30.878927
661,2,Male,Married,1,1.78,1,2,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,29.489239
473,1,Male,Single,0,3.3599999,0,1,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,29.905125
354,1,Male,Married,2,2.76,8,1,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,33.346657
903,7,Male,Single,0,4.3400002,19,7,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,27.10504
435,1,Male,Married,1,3.6900001,5,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,30.785751
631,2,Male,Married,0,4.3400002,5,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,29.822477
574,2,Male,Married,0,1.63,8,2,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,28.263208
268,0,Male,Single,0,4.29,35,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,23.849026
414,1,Male,Married,0,2.96,7,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,33.134071
804,4,Male,Married,1,1.76,11,4,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,26.123888
841,4,Male,Married,1,2.5799999,25,4,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,29.011089
905,7,Male,Married,1,3.5899999,27,7,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,31.313976
76,0,Male,Married,2,2.5799999,5,,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,35.954609
43,0,Male,Single,0,3.9200001,5,,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,28.147434
429,1,Male,Married,0,4.29,0,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,25.963097
156,0,Male,Married,1,2.21,5,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,29.808746
93,0,Male,Married,0,1.42,3,,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,35.744942
481,1,Male,Married,1,2.8599999,17,1,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,34.810169
325,1,Male,Married,2,2.5599999,22,1,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,28.173843
195,0,Male,Married,2,3.4000001,13,,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,34.208595
648,2,Male,Married,0,2.5,0,2,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,25.877647
625,2,Male,Married,2,3.3199999,27,2,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,30.751959
426,1,Male,Married,1,3.5899999,9,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,32.152596
502,1,Male,Married,1,4.29,2,1,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,35.838001
436,1,Male,Single,0,4.29,9,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,33.732895
680,2,Male,Married,0,1.76,0,2,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,28.760014
694,2,Male,Married,2,4.29,30,2,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,29.681858
432,1,Male,Married,1,4.54,3,1,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,29.064272
405,1,Male,Single,0,2,9,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,34.348946
895,7,Male,Married,0,3.5899999,1,7,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,29.107487
698,2,Male,Married,1,4.54,6,2,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,34.956875
160,0,Male,Married,0,2.8599999,8,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,30.407173
85,0,Male,Married,0,2.21,19,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,29.040932
594,2,Male,Single,0,2.26,2,2,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,31.973129
399,1,Male,Single,0,4.1399999,5,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,26.288124
535,2,Male,Married,1,4.54,10,2,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,30.50156
393,1,Male,Married,2,2.5,4,1,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,22.57325
343,1,Male,Married,1,3.4000001,2,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,27.669254
468,1,Male,Married,1,3.5899999,2,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,30.519371
478,1,Male,Married,2,4.29,9,1,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,35.563869
531,2,Male,Married,1,4.29,2,2,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,26.960758
814,4,Male,Married,2,3.54,2,4,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,30.202932
352,1,Male,Married,0,2.26,1,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,28.052893
570,2,Male,Married,2,2.96,21,2,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,29.471094
381,1,Male,Married,0,4.6199999,18,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,35.19627
723,3,Male,Married,2,4.29,0,3,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,32.218658
77,0,Male,Married,2,2.1199999,0,,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,34.297829
97,0,Male,Single,0,4.6199999,8,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,29.372589
313,1,Male,Married,0,4.29,11,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,33.532238
716,3,Male,Married,0,2.3199999,4,3,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,30.274849
519,1,Male,Married,0,2.96,0,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,32.289272
444,1,Male,Single,0,4.29,14,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.332478
78,0,Male,Married,1,2.21,1,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,31.326723
422,1,Male,Married,3,1.67,3,1,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,32.543663
622,2,Male,Married,1,2.5599999,7,2,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,33.940544
816,4,Male,Married,0,2.54,11,4,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,29.279106
744,3,Male,Married,0,3.6900001,24,3,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,23.625486
846,4,Male,Married,2,3.6900001,16,4,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,28.824039
440,1,Male,Married,2,3.6199999,4,1,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,31.16934
789,4,Male,Single,0,2.52,6,4,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,27.338884
699,2,Male,Single,0,4.29,9,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,32.321487
726,3,Male,Married,1,4.29,18,3,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,26.887445
629,2,Male,Married,0,4.54,11,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,29.545755
715,3,Male,Single,0,2.8699999,12,3,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,35.077774
246,0,Male,Single,0,2.96,0,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,29.200867
22,0,Male,Married,3,2.96,3,,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,28.902546
339,1,Male,Married,1,4.6199999,3,1,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,30.30986
39,0,Male,Married,1,1.22,2,,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,28.089071
520,1,Male,Married,1,2.76,7,1,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,34.130772
353,1,Male,Married,2,2.8599999,7,1,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,28.00993
235,0,Male,Married,1,2.1199999,10,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,31.102438
372,1,Male,Married,1,3.9200001,8,1,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,31.488497
767,3,Male,Married,0,1.25,4,3,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,31.645956
278,1,Male,Married,1,4.29,13,1,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,31.44257
263,0,Male,Married,1,2.0999999,0,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,25.084822
169,0,Male,Married,0,2.96,0,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,29.546181
157,0,Male,Married,2,3.6900001,5,,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,25.167885
442,1,Male,Single,0,2.8699999,12,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,29.400684
636,2,Male,Single,0,3.9200001,10,2,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,26.254005
707,3,Male,Married,1,2.6099999,5,3,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,30.734032
809,4,Male,Married,2,2.05,13,4,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,35.802338
217,0,Male,Married,0,1.52,4,,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,40.672104
95,0,Male,Single,0,4.1399999,5,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,23.70635
773,3,Male,Married,2,2.5799999,2,3,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,29.911688
901,7,Male,Single,0,4.54,42,7,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,27.055737
441,1,Male,Married,1,4.29,14,1,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,28.116821
356,1,Male,Married,2,4.29,12,1,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,30.293711
324,1,Male,Married,2,4.25,20,1,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,33.811962
9,0,Male,Single,0,4.6199999,6,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,31.213011
180,0,Male,Married,1,2.0999999,0,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,27.633461
546,2,Male,Married,2,2.96,46,2,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,28.345051
766,3,Male,Married,0,3.47,14,3,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,33.169296
368,1,Male,Married,2,1.75,2,1,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,26.072908
38,0,Male,Single,0,4.29,9,,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,28.641792
522,2,Male,Married,0,3.3599999,4,2,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,30.867447
482,1,Male,Married,1,2.8599999,17,1,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,27.703331
202,0,Male,Married,1,2.3900001,5,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,32.452423
303,1,Male,Married,0,1.6799999,34,1,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,24.200647
491,1,Male,Single,0,2.8699999,5,1,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,31.115618
771,3,Male,Married,0,4.29,38,3,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,30.179293
380,1,Male,Married,1,2.5599999,16,1,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,27.935684
126,0,Male,Married,1,2.8599999,13,,No,Yes,No,1-kid,Male,No,Good,No,Yes,No,31.01619
544,2,Male,Single,0,4.54,37,2,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,25.22364
897,7,Male,Single,0,3.4100001,20,7,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,30.287312
394,1,Male,Married,0,1.6799999,8,1,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,26.884995
761,3,Male,Married,0,3.9200001,0,3,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,32.197945
