id,momage,anti90,anti92,anti94,gender,childage,hispanic,black,momwork,married,self90,self92,self94,pov90,pov92,pov94
80,17,3,3,0,1,8.5,0,0,1,0,15,14,20,0,1,0
81,22,0,0,0,0,8.833333,1,0,0,0,24,24,24,0,0,0
82,23,0,1,0,1,8.666667,0,0,0,0,22,24,24,0,0,0
83,20,4,3,4,0,9.25,0,0,1,0,19,19,14,0,0,0
84,21,3,3,1,1,9.25,0,0,1,0,20,22,19,1,1,1
85,24,3,2,0,1,8.916667,0,0,0,0,24,22,24,0,0,0
86,23,0,0,1,1,9.583333,0,0,1,1,24,24,24,1,1,0
87,23,0,1,0,0,9.916667,0,0,1,0,21,24,22,0,0,0
88,24,4,2,3,0,8.166667,0,0,0,0,24,22,17,0,0,0
89,22,2,2,4,1,8.416667,0,0,1,1,21,23,21,1,0,0
90,17,1,1,3,1,8.25,1,0,0,0,17,22,22,0,0,0
91,19,4,5,4,0,8.916667,0,0,0,1,14,12,23,0,0,1
92,20,0,0,0,1,9.5,0,1,0,0,21,24,21,0,1,0
93,21,2,1,2,0,8.5,1,0,0,0,21,18,21,0,0,1
94,23,2,1,3,0,8.083333,0,0,0,0,24,21,24,0,0,0
95,18,2,3,2,1,10,0,0,0,0,14,23,15,0,1,1
96,17,2,0,0,1,9.916667,0,0,1,1,19,23,24,0,0,0
97,18,0,0,0,1,8.583333,0,0,1,1,24,24,24,0,0,0
98,20,0,0,0,1,9.25,0,0,0,0,21,17,20,0,0,0
99,19,0,0,0,0,9.666667,0,1,1,1,21,24,21,1,1,1
100,20,3,3,1,1,8.25,1,0,0,0,20,23,24,0,0,0
101,24,2,0,1,1,9,0,0,1,0,20,20,23,0,0,0
102,22,0,0,1,0,8.916667,0,0,0,0,18,17,19,0,0,0
103,23,2,2,1,1,9.833333,0,0,0,0,21,21,18,0,0,0
104,24,1,0,1,1,8.166667,0,0,0,0,19,16,13,0,0,0
105,20,1,2,5,1,9.083333,0,0,0,0,23,22,18,0,0,0
106,24,0,0,0,0,9.166667,0,0,0,0,23,24,23,0,0,0
107,19,0,1,2,0,9.75,0,0,0,0,23,20,24,0,0,0
108,21,0,1,1,1,8,0,0,0,0,21,12,16,0,0,0
109,20,0,0,0,1,8.666667,0,0,1,1,24,21,19,1,1,1
110,21,0,0,0,0,8.25,0,0,0,0,24,23,24,0,0,0
111,24,3,2,6,1,8.083333,0,0,0,1,10,13,17,1,1,0
112,19,0,0,1,0,9.083333,0,0,0,0,24,20,22,0,0,0
113,20,2,0,1,1,8.416667,0,0,0,0,21,21,19,0,0,0
114,24,0,0,0,0,9,0,0,1,0,21,18,18,0,0,0
115,25,0,1,0,1,8.25,0,0,0,0,19,20,24,0,0,0
116,23,3,4,1,1,8.916667,0,0,0,0,22,24,21,0,0,0
117,20,1,2,2,0,8.166667,0,0,0,0,23,21,19,0,0,0
118,17,1,0,3,0,9.916667,0,0,0,0,24,22,24,0,0,1
119,22,0,0,0,1,8.166667,0,0,1,0,23,20,22,0,0,0
120,23,1,3,3,1,9.5,0,0,0,0,16,20,19,0,0,1
121,18,1,3,3,0,9.833333,0,0,0,1,20,22,21,1,1,0
122,20,1,0,0,1,9,0,0,0,0,21,24,19,0,0,0
123,20,0,3,1,0,8,0,1,0,0,22,21,22,0,0,0
124,18,4,4,4,0,9.083333,0,1,1,0,17,20.4,20,1,1,1
125,17,2,5,3,0,9.166667,1,0,0,1,22,17,19,0,0,0
126,19,1,1,2,1,10,0,1,0,0,22,22,20,0,0,1
127,21,3,4,3,0,9.166667,0,1,1,0,19,17,21,1,1,1
128,23,4,3,4,0,9.333333,0,0,1,0,22,22,17,1,1,1
129,23,1,0,2,1,8.416667,0,0,1,0,21,15,20,0,0,0
130,16,6,4,4,0,9.833333,0,1,1,0,20,21,20,1,1,0
131,22,1,0,1,0,8.75,0,0,0,0,24,24,21,0,0,0
132,19,1,0,0,0,8.083333,0,0,1,0,24,24,23,0,0,0
133,22,1,0,0,1,9.666667,0,0,0,0,24,19,21,0,0,0
134,20,2,0,0,0,9.333333,0,0,0,1,16,12,17,1,1,0
135,23,0,0,0,0,9,0,0,0,1,19,21,24,0,0,0
136,17,0,0,0,1,8.666667,0,0,0,1,18,17,24,0,0,0
137,24,2,1,0,0,9,0,0,0,0,22,20,20,0,0,0
138,17,5,4,1,0,8.833333,0,0,1,1,18,23,21,1,1,0
139,18,1,0,0,0,9.166667,0,0,0,0,20,23,22,0,0,0
140,18,0,2,2,1,8.833333,0,0,0,0,20,18,13,0,0,0
141,20,2,0,0,1,9.75,0,0,0,0,22,24,24,0,0,1
142,18,1,0,0,0,9.25,1,0,0,1,22,24,23,0,0,0
143,19,0,0,0,0,8.75,1,0,0,1,19,13,20,1,1,1
144,17,4,4,5,1,9.833333,1,0,1,0,19,16,20,1,1,1
145,22,0,1,2,1,8.833333,1,0,0,0,24,18,24,0,0,0
146,20,5,5,6,0,9,1,0,1,0,22,14,24,1,0,0
147,18,3,5,5,0,9.75,1,0,0,0,19,8,20,0,0,0
148,20,1,1,3,0,9.583333,1,0,0,0,21,24,24,0,0,0
149,19,2,1,3,0,9.416667,0,0,1,0,23,24,19,0,0,0
150,16,0,0,2,1,10,0,0,0,1,19,22,20,0,0,0
151,19,1,2,4,0,9.833333,0,0,0,0,14,16,16,0,0,0
152,22,0,0,0,0,8.333333,0,0,0,0,23,23,24,0,0,0
153,24,1,1,0,1,8.583333,0,0,0,0,21,23,24,0,0,0
154,20,4,3,3,0,9.583333,0,1,1,0,20,23,23,0,0,0
155,23,1,0,0,1,8,0,0,1,0,21,22,24,0,0,1
156,24,1,2,2,0,8.166667,0,1,0,1,18,24,22,0,1,1
157,19,0,0,5,1,9.5,0,1,0,1,18,24,16,1,1,0
158,23,0,0,0,0,8.333333,0,0,0,0,23,23,24,0,0,0
159,20,4,4,3,1,9.25,0,0,0,0,24,18,16,1,1,1
160,22,0,0,0,0,9.833333,0,0,0,0,20,18,18,0,0,0
161,22,2,0,5,1,9.333333,1,0,1,0,20,24,18,1,1,1
162,24,0,0,0,0,8.833333,0,0,0,0,22,24,19,0,0,0
163,23,0,0,0,1,9.666667,1,0,1,1,18,21,16,1,1,0
164,24,1,0,0,0,8.416667,1,0,1,1,17,23,24,1,1,0
165,18,1,3,4,0,9.833333,0,0,0,0,22,20,17,0,0,0
166,23,1,0,3,0,8.75,0,0,0,0,23,21,22,0,0,0
167,23,3,4,6,0,9.75,0,1,0,0,23,22,19,1,1,0
168,17,0,1,0,1,8.083333,0,1,1,0,23,24,24,1,0,0
169,19,2,3,4,0,8.166667,0,0,0,0,21,24,20,0,0,0
170,19,1,1,4,1,8.166667,0,0,0,1,21,23,18,0,0,0
171,23,4,2,5,1,8.416667,0,0,1,0,22,24,24,0,0,0
172,17,0,1,0,0,9.666667,0,1,0,1,20,23,20,0,0,1
173,18,0,0,0,0,8.166667,0,1,0,1,21,22,23,0,0,1
174,24,2,4,3,1,8,0,1,0,0,24,24,24,1,1,1
175,25,0,1,1,1,8.666667,0,0,0,0,23,21,20,0,0,0
176,22,1,0,0,0,9.916667,0,0,0,0,19,24,24,0,0,0
177,19,3,4,4,1,9.25,0,0,0,0,21,20,16,0,0,0
178,22,1,3,2,0,8.833333,0,1,0,0,20,19,10,0,0,0
179,17,1,0,0,1,9.583333,0,0,0,0,19,19,16,0,0,0
180,23,0,1,0,1,9.083333,0,0,1,0,16,19,14,0,0,0
181,22,2,4,3,0,8.083333,0,0,0,0,20,21,20,0,0,0
182,21,4,3,3,0,9.916667,0,0,1,0,22,21,23,1,0,0
183,20,4,2,5,0,9.666667,0,0,1,0,22,24,24,0,0,0
184,22,1,1,2,1,9.75,0,0,0,0,18,21,16,0,0,0
185,21,0,0,1,1,9.166667,0,0,0,0,21,19,23,0,0,0
186,20,3,1,3,0,9.583333,0,0,1,0,19,22,17,1,1,1
187,19,0,0,2,0,9.416667,0,0,0,0,17,19,18,0,0,0
188,21,3,2,3,0,8.416667,0,1,0,0,23,24,24,1,1,1
189,21,0,0,1,0,9.583333,1,0,0,1,24,24,20,1,1,1
190,22,0,0,2,1,8.666667,1,0,0,1,16,24,18,1,1,1
191,21,2,3,1,0,9,0,0,0,0,19,20,23,0,0,0
192,22,0,0,2,0,8.916667,0,0,0,0,22,24,24,0,0,0
193,23,4,3,3,0,9.333333,0,0,0,0,18,21,22,1,0,1
194,20,0,0,0,1,8.416667,0,0,0,0,24,24,21,0,0,0
195,23,0,0,0,0,9.916667,0,0,1,0,24,24,24,0,0,0
196,23,3,2,2,1,8.583333,0,1,0,0,18,19,24,1,1,1
197,20,1,1,1,0,9,0,1,0,1,18,19,19,1,1,0
198,19,0,2,0,0,9.5,0,0,0,0,16,19,15,0,0,0
199,22,3,0,3,1,8.5,0,0,0,0,17,23,23,0,0,0
200,20,4,3,3,1,10,0,0,1,1,17,15,21,1,0,0
201,23,2,1,2,0,9,0,1,1,0,21,19,19,0,1,1
202,22,4,4,3,0,8.416667,0,1,1,0,15,24,21,0,0,0
203,23,6,5,0,0,8.5,0,0,0,1,20,11,12,0,0,0
204,22,2,0,0,0,8.833333,0,1,0,1,21,23,24,0,0,0
205,19,1,1,1,0,9.083333,0,0,0,1,24,19,20,0,0,1
206,23,0,0,0,0,9.666667,0,0,1,0,22,24,22,0,0,0
207,18,5,3,4,0,8.833333,0,0,0,0,22,22,21,0,0,0
208,23,0,2,1,0,8.916667,0,0,1,0,22,22,24,0,0,0
209,23,0,0,0,0,8.166667,0,1,0,0,19,20,22,0,0,0
210,19,0,2,0,1,9.333333,0,1,0,0,21,22,23,0,0,0
211,23,2,2,0,0,9.75,0,1,1,0,17,19,20,1,1,1
212,17,3,3,4,1,9.916667,0,1,0,0,20,21,15,1,1,1
213,19,2,0,1,1,9.416667,0,0,0,0,24,22,22,0,0,0
214,23,1,0,0,1,9.75,0,0,0,0,17,12,16,0,0,0
215,21,0,0,1,1,8.5,0,0,1,0,19,22,24,0,0,0
216,23,0,0,1,0,8.166667,0,0,0,1,17,17,24,0,0,0
217,21,1,1,2,1,9,0,1,0,0,23,19,15,0,0,1
218,18,0,0,0,0,9.083333,1,0,0,1,16,23,20,1,1,1
219,23,3,2,1,0,9.083333,0,0,1,0,24,24,23,0,1,1
220,19,3,5,4,0,9.916667,0,1,1,0,24,15,24,0,0,0
221,21,1,1,1,0,8.166667,0,1,1,0,17,24,23,0,0,0
222,24,0,0,1,1,8.5,0,0,0,0,22,23,24,0,0,0
223,20,2,3,3,0,9.166667,0,0,1,0,18,21,19,0,0,0
224,21,3,4,2,0,8.083333,0,0,1,0,16,22,22,0,0,0
225,22,0,2,2,1,9.833333,0,0,0,0,23,23,15,0,0,1
226,24,0,2,3,0,8.416667,0,0,0,0,24,24,17,0,0,1
227,22,1,2,1,0,9.083333,0,0,0,1,20,22,20,1,0,0
228,23,1,4,3,0,9.333333,1,0,1,1,22,20,19,1,1,1
229,19,1,0,4,0,9.666667,0,0,1,0,24,22,21,0,0,0
230,20,2,3,2,0,8.416667,0,0,0,0,21,22,23,0,0,0
231,22,0,2,6,1,8.5,0,0,1,0,20,22,19,1,1,1
232,22,1,2,6,1,8.5,0,0,1,0,23,17,16,1,1,1
233,20,5,4,6,0,9.833333,0,1,0,1,19,24,16,1,1,1
234,20,4,4,2,0,9.166667,1,0,0,1,19,21,21,1,0,0
235,17,2,1,1,0,10,1,0,0,0,20,12,13,0,0,0
236,21,2,1,4,0,9.583333,0,0,0,0,20,17,20,0,0,0
237,21,4,3,6,1,8.25,0,0,0,1,20,24,21,1,1,1
238,21,2,4,1,0,9.833333,0,0,0,0,24,23,21,0,0,0
239,21,2,2,1,1,9.083333,0,0,0,0,21,19,17,0,0,0
240,21,1,0,0,0,8.833333,0,1,0,0,20,20,20,0,0,0
241,20,3,3,3,0,10,0,0,0,0,13,24,22,0,0,0
242,22,2,2,1,1,8.416667,0,0,0,0,22,22,19,0,0,0
243,20,6,3,3,1,8,0,0,1,1,14,20,20,1,1,0
244,23,0,0,0,0,9.166667,0,0,0,0,21,22,24,0,0,0
245,20,0,0,1,1,8.75,0,0,0,1,14,21,18,0,0,0
246,19,1,1,1,1,8.333333,0,0,0,0,21,18,18,1,0,0
247,17,0,0,0,1,9.666667,0,0,0,1,21,22,23,1,1,1
248,21,1,0,1,1,8,0,0,0,0,18,8,11,0,0,1
249,19,0,1,1,0,8.166667,0,0,0,0,24,23,20,0,0,1
250,20,0,2,3,1,8.416667,0,0,1,0,17,16,17,0,0,0
251,20,3,3,5,1,9.333333,0,0,1,0,18,23,12,0,0,1
252,23,2,0,0,1,8.583333,0,0,0,1,22,24,20,0,0,0
253,21,3,4,3,1,9.75,0,1,0,0,20,19,23,0,0,0
254,21,0,0,0,1,8.416667,0,0,0,0,19,24,22,0,0,0
255,24,0,0,0,0,8.833333,0,0,0,0,23,24,24,0,0,0
256,22,1,1,1,1,8.083333,0,0,0,0,18,23,20,0,0,0
257,25,2,1,0,1,8.166667,0,0,1,0,22,18,22,0,0,1
258,17,0,1,3,0,9.166667,0,0,0,0,24,24,24,1,0,0
259,18,0,0,1,1,8,0,0,0,0,23,24,22,1,0,0
260,22,0,1,0,1,9.333333,0,0,0,0,24,24,24,0,0,0
261,20,3,1,1,1,8.416667,0,0,0,1,15,21,21,0,0,0
262,23,1,2,5,0,9.75,0,0,0,0,24,24,24,0,0,0
263,23,3,2,1,0,8.916667,0,0,0,1,21,24,22,1,0,0
264,19,2,5,4,0,8.083333,0,0,0,0,21,19,23,0,0,0
265,25,0,1,0,1,8.083333,0,0,1,0,23,21,23,0,0,0
266,22,0,0,0,1,9.666667,0,0,1,0,20,23,23,0,0,0
267,19,1,3,2,0,9.25,1,0,0,0,15,19,22,0,0,0
268,20,4,3,2,0,8.083333,1,0,0,0,15,11,24,0,0,0
269,18,0,0,0,1,9.75,0,0,1,0,21,19,20,1,1,0
270,20,1,0,0,0,9.833333,0,0,0,0,24,22,22,1,1,0
271,18,1,1,1,1,9.75,0,0,0,0,22,21,21,0,0,0
272,22,0,1,1,1,9.75,0,0,1,0,14,19,18,0,0,0
273,23,2,0,0,1,9.5,0,0,1,0,20,23,23,0,0,0
274,23,6,5,6,0,8.666667,0,0,0,0,24,24,23,1,1,1
275,22,2,1,1,0,9,0,0,0,0,23,24,24,0,0,0
276,20,4,3,3,0,8.166667,0,0,0,0,22,17,24,0,0,0
277,20,1,1,1,0,9.25,0,0,1,0,21,23,24,0,0,0
278,23,1,1,0,0,9.916667,0,0,0,0,20,15,16,0,0,0
279,20,3,3,3,0,10,0,0,0,0,24,24,20,0,0,0
280,17,2,1,1,0,8.5,0,0,0,0,16,21,21,0,1,1
281,19,3,3,5,0,9.5,0,0,1,0,24,24,24,1,1,1
282,19,0,2,0,1,9.333333,0,0,0,0,24,24,24,0,0,0
283,22,2,0,1,1,8.25,0,0,0,0,24,18,22,0,0,0
284,20,3,3,1,0,8,0,1,0,0,19,24,24,0,1,1
285,23,1,1,1,0,9.666667,0,0,0,0,18,22,20,0,0,0
286,24,1,0,0,1,9.083333,0,0,0,0,15,19,18,0,0,0
287,23,0,0,1,1,9,0,0,0,0,21,24,18,0,0,0
288,24,0,0,0,0,8,0,0,0,0,21,20,18,0,0,0
289,22,3,0,1,1,8.583333,0,0,1,0,20,20,17,0,0,0
290,17,2,4,5,1,8.166667,0,1,0,0,17,14,18,0,1,0
291,19,0,0,2,0,8.583333,0,0,0,0,14,19,23,0,0,0
292,19,0,0,2,1,8.583333,0,0,0,1,23,24,19,1,1,1
293,21,1,0,1,1,9.583333,0,0,0,1,14,24,12,0,0,0
294,21,2,2,3,1,9.25,0,0,0,0,23,24,14,0,0,0
295,18,2,3,3,0,9,0,0,1,0,24,23,17,0,0,0
296,21,1,1,0,0,8.833333,1,0,0,0,13,18,23,0,0,0
297,19,1,6,4,1,9.583333,1,0,0,0,17,23,22,1,1,0
298,19,1,1,0,1,8.166667,1,0,0,0,18,23,23,1,1,0
299,19,1,0,0,0,9.916667,1,0,0,0,16,23,24,1,1,0
300,21,4,5,3,0,8,1,0,0,0,12,24,24,1,1,0
301,23,0,1,4,0,8.75,1,0,0,0,21,20,22,0,0,1
302,22,3,3,4,1,9,1,0,0,1,12,16,22,0,0,1
303,22,0,0,0,1,8.416667,1,0,1,0,17,18,24,0,0,0
304,24,1,3,3,0,8.5,1,0,0,0,24,19,24,0,0,0
305,19,4,4,6,0,8.25,1,0,1,0,22,24,21,0,0,0
306,19,2,0,2,0,8.166667,1,0,1,0,14,20,20,0,0,0
307,19,0,0,0,1,8.833333,1,0,0,0,24,20,24,0,0,0
308,20,2,0,0,0,8,0,1,0,0,24,20,19,0,0,0
309,22,2,3,3,1,9.333333,0,1,1,0,22,16,22,0,0,1
310,18,5,4,6,0,10,0,1,0,0,24,22,15,1,0,1
311,19,0,0,0,1,8.666667,0,1,0,0,21,23,21,0,1,0
312,19,2,3,0,0,9.25,0,1,0,0,17,21,24,1,1,1
313,23,1,2,2,1,9.25,0,1,1,0,24,20,23,1,1,1
314,20,1,1,1,1,8.25,0,1,1,0,20,23,19,1,1,1
315,17,1,0,0,0,9.916667,0,1,1,1,23,20,23,1,1,1
316,20,3,2,1,0,9,0,1,1,0,21,19,24,1,1,1
317,21,1,0,1,0,9.833333,1,0,0,0,21,24,19,0,0,0
318,23,1,2,0,1,8,1,0,0,0,22,17,15,0,0,0
319,19,1,3,2,0,9.583333,0,1,0,0,21,23,19,1,1,0
320,21,2,2,4,0,8.083333,0,1,0,0,21,21,18,1,1,0
321,19,1,3,2,0,8.333333,0,1,0,0,18,14,18,1,0,0
322,20,1,2,2,1,9.083333,0,1,1,1,15,17,21,1,1,0
323,21,1,1,2,1,8.583333,0,1,1,0,24,23,24,0,0,0
324,23,0,1,2,0,9.333333,0,1,0,0,22,23,24,0,0,0
325,18,0,2,2,1,8,0,1,1,0,18,22,19,0,0,0
326,23,3,1,4,0,8.833333,0,1,0,1,19,23,22,1,0,1
327,21,2,0,1,1,8.666667,0,1,0,1,14,18,24,1,1,1
328,19,5,5,6,0,9.166667,0,1,0,0,15,18,19,1,0,1
329,23,2,0,1,1,9.833333,0,1,0,1,22,22,21,1,0,0
330,24,0,0,0,0,8.833333,0,1,0,1,12,23,24,1,0,0
331,22,1,4,4,0,9.833333,0,1,0,1,18,22,20,0,0,1
332,21,0,1,1,0,8,0,1,0,0,19,19,20,0,0,0
333,21,3,2,2,1,8.166667,0,1,0,1,18,17,13,1,0,1
334,23,4,4,2,1,9,0,1,0,0,18,21,14,0,0,0
335,20,1,0,1,1,9.166667,0,1,0,0,20,23,23,0,0,0
336,17,0,4,0,1,9.333333,0,1,0,1,21,13,23,1,1,0
337,19,1,1,5,1,9.833333,0,1,0,0,16,22,22,1,1,1
338,23,5,6,4,1,9.25,0,1,0,0,17,14,20,0,0,1
339,24,2,2,3,0,8.333333,0,1,0,0,22,21,19,0,0,1
340,18,2,2,5,0,10,0,1,0,1,19,23,20,1,1,1
341,19,2,1,2,1,9.75,0,1,0,0,21,24,23,1,1,0
342,22,1,1,0,1,8.25,0,1,0,0,21,20,24,0,0,0
343,20,1,4,2,0,9.166667,0,1,0,1,18,11,22,1,0,1
344,18,0,1,1,1,9.666667,0,1,0,0,18,20,19,0,1,0
345,19,3,4,4,0,8.75,0,1,0,1,18,16,12,1,1,0
346,17,3,2,2,1,9,0,1,1,0,17,23,24,1,1,1
347,22,3,1,2,1,8.166667,0,1,1,0,24,21,13,1,1,1
348,22,3,6,6,0,9.666667,0,1,1,0,21,20,24,0,1,1
349,22,3,0,0,0,8.583333,0,1,1,0,20,24,24,1,1,1
350,19,1,1,0,0,8.083333,0,1,0,1,21,18,22,1,0,0
351,21,0,1,1,1,8.333333,0,1,1,0,20,24,18,1,1,1
352,16,1,0,0,0,9.833333,0,1,0,0,24,24,23,0,1,1
353,18,2,2,2,0,8.75,0,1,0,0,17,24,23,0,1,0
354,23,2,1,2,0,8.083333,0,1,0,0,24,24,24,0,0,1
355,20,2,0,0,0,9.083333,0,1,1,0,21,18,21,1,1,1
356,18,1,0,0,1,8.583333,0,1,0,0,14,18,16,0,0,0
357,18,5,4,2,0,9.666667,0,1,0,0,20,20,20,1,1,1
358,22,4,6,2,1,8.75,0,1,1,1,15,18,20,1,1,1
359,23,0,2,2,1,8.5,0,1,0,1,23,18,21,1,1,1
360,17,3,1,4,0,9.166667,0,1,0,0,14,23,21,0,0,1
361,23,1,0,0,1,8.833333,1,0,0,1,18,15,14,1,0,0
362,22,2,1,0,1,8.916667,0,1,1,1,18,21,21,1,1,1
363,19,2,3,2,0,8,1,0,1,1,22,24,23,0,0,0
364,20,0,5,3,0,9.5,0,1,0,0,19,18,18,1,0,0
365,21,1,0,1,1,9.166667,1,0,0,1,17,16,17,1,1,0
366,24,0,0,0,1,8.25,1,0,0,0,12,18,21,0,0,0
367,22,0,1,0,1,9.083333,0,1,0,1,14,12,16,0,0,0
368,18,2,1,0,0,8.333333,0,1,1,0,23,23,19,1,1,1
369,20,1,1,1,1,9.416667,0,1,1,0,21,23,22,1,1,1
370,21,1,2,3,1,8.75,1,0,1,0,24,21,22,1,1,1
371,23,1,1,2,1,8.666667,0,1,0,0,22,23,23,0,0,0
372,20,2,1,1,1,9.75,0,1,0,0,17,18,24,0,1,1
373,21,5,3,5,0,8.333333,0,1,0,0,20,23,24,0,1,1
374,24,2,6,3,1,8.25,0,1,0,0,24,12,17,0,0,1
375,21,1,0,0,0,8.916667,0,1,0,1,21,22,21,0,0,0
376,23,0,0,0,0,8.916667,0,1,0,1,17,18,22,0,0,0
377,22,0,1,1,1,8.916667,0,1,0,0,23,24,24,1,0,0
378,21,2,3,0,0,9.083333,0,1,0,0,21,21,24,1,1,1
379,19,0,0,2,1,9.166667,0,1,0,0,22,23,24,0,0,0
380,17,1,3,2,1,9.916667,1,0,1,1,24,19,21,1,1,0
381,20,4,3,3,0,8.25,0,1,0,1,18,21,21,0,0,1
