cd_a,ent,con,upm,v_sel,n_hog,h_mud,per,d_sem,n_pro_viv,n_ren,nom,sex,eda,r_pre,fecha_e,hora_ini_e,hora_ter_e,r_def,fecha_s,hora_ini_s,hora_ter_s,obs_caratu,p1,p11,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_99,p12_des,p13,p14,p14_des,p15,p16,p16_des,p17,p18,p19_1,p19_1_des,p19_2,p19_2_des,p19_9,p20,p21,p22,p23_des,obs,fac,clase2,loc,mun,est,est_d,ageb,t_loc,n_ent,c_res,par_c,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,clase1,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins,cuenta,sex_fem,jefe_hog
1,9,1215,22505,3,1,0,212,110,121,3,-,1,47,0,60612,1115,1146,0,60612,1115,1146,,3,88,,,,,5,,,,,,,2,,,,1,,2,2,,,,,,,,,SISTEMA PARA GUARDAR DONDE EL GOBIERNO PONE UNA PARTE PARA DESPUES PENSIONARSE,,19892,1,1,16,33,8,0,1,4,1,301,10,5,1965,9,1,4,2,,,,2,,6,,,,,,,1,1,1870,1,1,1,2,4,7,7,8,2,1,4,3,7,5,2,2,3,5,0,2,0,0,0,0,0,2,2,5,0,0,0,0,3,3,4,7,12,0,1,11,70,0,0,0,0,0,4,0,0,8,1,1,1,0,1,3,8,0,0,0
1,9,1222,33359,1,1,0,212,210,5,3,-,2,20,16,60612,1300,1300,0,170612,1305,1330,,1,99,,2,,,5,,,,,,,2,,,,1,,2,2,,,,,,,,,IGNORA LO QUE ES AFORE ARCHIVAR DOCUMENTOS,,18827,4,1,3,24,5,0,1,3,1,301,99,3,1992,9,1,4,2,,,,1,0,6,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,2,2,7,1,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9,1222,33359,3,1,0,212,210,97,1,-,1,42,17,150612,1600,1600,0,240612,1015,1025,INDICO EL SEÑOR QUE ERA UN CHAMACO CUANDO EMPEZO A TRABAJAR QUE ES UN  ABSURDO ESTAS PREGUNTAS CONTESTO DE MALA GANA,1,99,,,,,,,,,,99,,2,,,,1,,2,2,,,,,,,,,NO SABE,INDICO EL SEÑOR QUE ERA UN CHAMACO CUANDO EMPEZO A TRABAJAR QUE ES UN  ABSURDO ESTAS PREGUNTAS CONTESTO DE MALA GANA,19693,1,1,3,24,5,0,1,3,1,101,12,3,1970,9,1,4,2,,,,2,,5,,,,,,,1,1,1870,1,1,1,2,4,7,7,8,2,1,4,3,7,5,2,2,3,5,0,2,0,0,0,0,0,2,2,5,0,0,0,0,3,2,4,6,11,0,3,11,60,0,0,0,0,0,4,0,0,8,1,1,1,0,1,3,8,0,0,1
1,9,1224,23029,1,1,0,212,210,2,2,-,1,30,16,140612,1930,1930,0,160612,1900,1925,,3,99,,,,,,,,,9,,,2,,,,1,,2,2,,,,,,,,,FONDO DE AHORRO,,19096,1,1,6,24,5,0,1,3,1,301,24,1,1982,9,1,3,3,,,,2,,6,,,,,,,1,1,1870,1,1,1,2,2,5,4,6,2,1,4,2,3,4,2,3,3,5,0,2,0,0,0,1,4,1,2,5,0,0,0,0,3,2,3,4,9,0,3,9,40,6450,37.5,0,0,0,4,0,0,5,1,1,1,0,1,1,8,0,0,0
1,9,1224,23029,3,1,0,212,210,56,1,-,2,48,0,100612,1630,1655,0,100612,1630,1655,,1,99,,,,,,,,,9,,,2,,,,1,,2,2,,,,,,,,,AHORRO PARA EL RETIRO,,21046,1,1,6,24,5,0,1,3,1,101,16,7,1963,9,1,3,3,,,,2,4,2,,,,,,,1,1,1870,1,1,3,2,4,8,2,4,1,1,4,3,6,3,2,2,3,5,0,2,0,0,0,1,2,0,0,0,0,0,0,0,3,3,4,7,12,3,3,9,30,2150,16.66667,0,0,1,4,0,0,18,1,1,1,0,1,7,8,0,1,1
1,9,1225,29834,1,1,0,212,210,40,2,-,2,27,0,50612,1000,1020,0,50612,1000,1020,,2,87,,2,,,,,,,,,,1,7,,1,,,2,2,,,,,,,,,DONDE GUARDAN DINERO,,16881,4,1,7,23,4,0,1,3,1,201,20,11,1984,21,1,3,3,,,,2,1,1,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,3,2,2,3,8,2,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9,1225,29834,4,1,0,212,210,160,3,-,1,28,0,50612,1700,1720,0,50612,1700,1720,,1,99,1,,,,,,,,,,,1,1,,2,,,2,1,1,BANJERCITO,,,,1,2,3,FONDO DE AHORRO CUANDO UNO SE RETIRA DE SU TRABAJO,,19999,1,1,7,23,4,0,1,3,1,301,14,12,1983,21,1,4,2,,,,2,,6,,,,,,,1,1,1870,1,1,1,1,4,1,4,8,6,3,4,3,11,5,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,3,2,2,3,8,0,1,11,64,6000,21.80233,0,0,0,2,0,0,20,1,2,2,0,3,2,5,0,0,0
1,9,1225,29834,5,1,0,212,210,190,5,-,1,18,0,50612,2030,2050,0,50612,2030,2050,PG. 11 DICE HASTA QUE YA NO PUEDA,1,99,,,3,,,,,,,,,1,1,,2,,,2,2,,,,,,,,,NO SE NADA PORQUE HASTA QUE CUMPLA UN AÑO EN EL TRABAJO SU PATRON LE DIRA,PG. 11 DICE HASTA QUE YA NO PUEDA,19999,1,1,7,23,4,0,1,3,1,609,13,7,1993,9,1,4,2,,,,2,,6,,,,,,,1,1,1870,1,1,1,1,4,5,5,6,6,3,4,3,7,4,2,6,1,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,3,1,1,1,6,0,1,11,48,9890,47.916672,0,0,0,1,0,0,9,1,2,2,0,3,2,2,0,0,0
1,9,1226,31419,4,1,0,212,210,136,2,-,2,52,0,50612,1350,1401,0,50612,1350,1401,PG. 6 DICE QUE GANABAEL MINIMO EN ESE TIEMPO PERO NO RECUERDA CUANTO ERA,2,99,,,,4,,,,,,,,2,,,,1,,2,2,,,,,,,,,AHORRO PARA LA VEJEZ,PG. 6 DICE QUE GANABAEL MINIMO EN ESE TIEMPO PERO NO RECUERDA CUANTO ERA,22119,1,1,7,24,5,0,1,3,1,201,11,3,1960,9,1,6,3,1862,2,1,2,5,5,,,,,,,1,1,1870,1,1,3,2,4,8,1,2,1,1,4,3,10,2,2,2,3,5,0,2,0,0,0,1,2,0,0,0,0,0,0,0,3,3,5,8,13,3,3,12,9,1613,41.679588,0,0,1,4,0,0,19,2,1,1,0,1,7,8,0,1,0
1,9,1227,26747,4,1,0,212,210,67,3,-,2,31,0,100612,1000,1015,0,100612,1000,1015,,1,65,1,,,,,,,,,,,1,4,,2,,,1,1,1,G.N.P.,,,,2,1,2,SISTEMA PARA TRABAJADORES INSTITUCIONES BANCARIAS QUE AYUDAN PARA TENER UN AHORRO PARA EL RETIRO NO SON CONFIABLES,,23640,1,1,10,33,8,0,1,3,1,301,7,3,1981,9,1,7,5,3911,3,1,2,0,6,,,,,,,1,1,1870,1,1,1,1,4,6,4,6,6,3,4,3,7,4,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,3,4,9,1,3,17,48,0,0,0,0,0,1,0,0,9,1,2,2,0,3,2,2,0,1,0
1,9,1230,20503,1,1,0,212,210,19,2,-,2,53,0,60612,2113,2129,0,60612,2113,2129,,1,88,,2,,,,,,,,,,2,,,,1,,2,2,,,,,,,,,UNA CUENTA DE AHORRO PARA LA VEJEZ,,25639,1,1,15,42,10,0,1,3,1,601,11,6,1958,2,1,6,3,1862,2,1,2,2,6,,,,,,,1,1,1870,1,1,3,2,3,6,2,4,1,1,4,3,5,3,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,13,2,3,12,30,2000,15.50388,0,0,1,4,0,0,7,1,1,1,0,1,7,8,0,1,0
1,9,1230,20503,2,1,0,212,210,45,3,-,1,29,0,50612,1953,2032,0,50612,1953,2032,"PG. 10 FUERON TRABAJOS SIMULTANEOS, ESTA ARREGLANDO SUS DOCUMENTOS PARA PODER TRABAJAR EN MEXICO",2,99,,,,,,,,,9,,,2,,,,5,NO TIENE EMPLEO APENAS ESTA ARREGLANDO SUS PERMISOS PARA TRABAJAR EN EL PAIS,2,2,,,,,,,,,AHORRO PARA PENSIONARSE,"PG. 10 FUERON TRABAJOS SIMULTANEOS, ESTA ARREGLANDO SUS DOCUMENTOS PARA PODER TRABAJAR EN MEXICO",17359,2,1,15,42,10,0,1,3,1,617,20,12,1982,200,1,7,4,4131,3,1,2,,5,,,,,,,1,1,1870,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,4,2,2,3,8,0,3,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,9,1239,12321,2,1,0,212,310,28,2,-,2,35,16,100612,1010,1010,0,110612,1820,1845,,3,99,,,,,,,,,9,,,2,,,,1,,2,1,1,BANCOPEL,,,,2,2,3,POR UN AHORRO EN UN TRABAJO,,19959,1,1,5,22,3,0,1,2,1,201,99,99,1977,30,1,2,6,,,,2,0,1,,,,,,,1,1,1870,1,1,1,2,2,5,1,7,4,1,4,2,3,5,2,3,3,5,0,2,0,0,0,0,0,1,2,5,0,0,0,0,2,2,3,5,10,1,3,6,50,860,4,0,2,0,4,1,0,5,1,1,1,0,1,1,8,0,1,0
1,9,1239,12321,4,1,0,212,310,72,3,-,1,41,0,100612,1012,1047,0,100612,1012,1047,PG. 6 SE REFIERE A DOLARES,4,60,1,,,,,,,,,,,2,,,,5,NO TENIA TRABAJO,2,1,1,INBURSA,,,,2,2,1,QUE ES UN AHORRO PARA EL RETIRO,PG. 6 SE REFIERE A DOLARES,19959,1,1,5,22,3,0,1,2,1,301,99,99,1972,9,1,3,2,,,,2,,6,,,,,,,1,1,1870,1,1,1,1,2,5,7,3,6,2,4,2,3,3,2,6,1,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,2,2,4,6,11,0,3,8,16,0,0,0,0,0,1,0,0,5,1,2,2,0,3,2,2,0,0,0
1,9,1241,29984,3,1,0,212,310,54,1,-,1,22,0,80612,2030,2100,0,80612,2030,2100,PG. 6 NO RECORDO QUE SUELDO TENIA,3,99,,2,,,,,,,,,,2,,,,1,,2,2,,,,,,,,,ES UN SEGURO,PG. 6 NO RECORDO QUE SUELDO TENIA,21302,1,1,7,22,3,0,1,2,1,101,24,2,1990,9,1,4,2,,,,2,,1,,,,,,,1,1,1870,1,1,1,2,2,5,3,6,2,1,4,2,3,4,2,3,3,5,0,2,0,0,0,0,0,1,2,5,0,0,0,0,3,1,2,2,7,0,3,11,48,3870,18.75,0,0,0,4,0,0,5,1,1,1,0,1,1,8,0,0,1
1,9,1241,29984,5,1,0,212,310,98,5,-,1,40,0,90612,900,920,0,90612,900,920,PG. 6 ESTE DATO NO LO DARA. PG. 13 DICE QUE SOLO EN LA AFORE.,4,60,,,,,,,,8,,,QUE SU AFORE LE ALCANCE,2,,,,1,,2,1,1,PROFUTURO,,,,2,1,2,UNA ADMINISTRADORA DE FONDO PARA EL RETIRO,PG. 6 ESTE DATO NO LO DARA. PG. 13 DICE QUE SOLO EN LA AFORE.,18808,1,1,7,22,3,0,1,2,1,617,6,12,1971,9,1,7,4,4144,3,1,2,,5,,,,,,,1,1,1870,1,1,1,1,4,5,7,6,6,3,4,3,8,4,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,4,6,11,0,3,16,40,0,0,0,0,0,1,0,0,10,1,2,2,0,3,2,1,0,0,0
1,9,1242,32070,1,1,0,212,310,5,1,-,2,49,0,40612,1930,1950,0,40612,1930,1950,,3,99,,,,,5,,,,,,,2,,,,1,,2,1,1,BANAMEX AFORE,,,,1,2,3,PROTECCION ECONOMICA PARA SU VEJEZ,,23119,1,1,8,23,4,0,1,2,1,101,17,10,1962,9,1,3,3,,,,2,3,6,,,,,,,1,1,1870,1,1,1,1,4,4,2,6,6,3,4,3,11,4,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,3,3,4,7,12,3,3,9,40,2400,13.95349,0,0,0,2,0,0,20,2,2,2,0,3,2,5,0,1,1
1,9,1242,32070,3,1,0,212,310,91,2,-,2,40,0,60612,1730,1745,0,60612,1730,1745,SE OBTUVIERON LOS DATOS POR TELEFONO PORQUE LA SRA R2 TRABAJA HORAS EXTRAS,2,88,1,,,,,,,,,,,2,,,,1,,2,1,1,AFORE ING,,,,1,1,1,AHORRO PARA SU VEJEZ EN RETIRO,SE OBTUVIERON LOS DATOS POR TELEFONO PORQUE LA SRA R2 TRABAJA HORAS EXTRAS,20977,1,1,8,23,4,0,1,2,1,201,16,12,1971,9,1,2,6,,,,1,3,5,,,,,,,1,1,1870,1,1,1,1,4,8,2,6,6,3,4,3,8,4,2,6,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,2,2,4,6,11,3,3,6,48,2400,11.62791,0,0,0,1,0,0,14,1,2,2,0,3,2,2,0,1,0
1,9,1243,34027,2,1,0,212,310,150,2,-,2,51,0,60612,1012,1022,0,60612,1012,1022,,1,54,,,,,,6,7,,,,,2,,,,1,,2,2,,,,,,,,,ES UN  FONDO DE RETIRO PARA LA VEJEZ,,29680,1,1,11,23,4,0,1,2,1,201,11,9,1960,20,1,3,3,,,,2,3,5,,,,,,,1,1,1870,1,1,1,2,4,8,1,2,1,1,4,3,10,2,2,8,3,6,0,2,0,0,0,0,0,2,2,5,0,0,0,0,3,3,5,8,13,3,3,9,4,645,37.5,0,0,0,4,0,0,19,1,1,2,0,2,3,9,0,1,0
1,9,1244,37351,5,1,0,212,310,275,3,-,1,27,0,100612,900,925,0,100612,900,925,,3,99,,,,,,,,,9,,,1,7,,2,,,2,1,1,AFORE SURA SA DE CV,,,,1,2,9,UN ELEMENTO PARA EL RETIRO PARA UNA CIERTA EDAD,,22906,1,1,13,23,4,0,1,2,1,301,19,2,1985,9,1,3,2,,,,2,,6,,,,,,,1,1,1870,1,1,1,2,4,9,7,7,6,4,4,3,8,5,2,5,1,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,2,2,2,3,8,0,1,8,56,0,0,0,0,0,4,0,0,14,1,1,2,0,3,1,2,0,0,0
1,9,1245,18137,2,1,0,212,310,90,1,-,1,43,0,40612,1834,1852,0,40612,1834,1852,ABRIO SU AFORE EN COPPEL PORQUE SE LA OFRECIERON PERO NO TIENE MAS INFORMACION Y NO HA HECHO NINGUNA APORTACION Y ESTA EN CEROS,1,88,,2,,,,,,,,,,2,,,,1,,1,1,1,COPPEL,,,,1,1,3,AHORRO PARA EL RETIRO,ABRIO SU AFORE EN COPPEL PORQUE SE LA OFRECIERON PERO NO TIENE MAS INFORMACION Y NO HA HECHO NINGUNA APORTACION Y ESTA EN CEROS,17635,1,1,15,24,5,0,1,2,1,101,2,8,1968,15,1,4,3,,,,2,,5,,,,,,,1,1,1870,1,1,2,2,3,6,2,2,2,1,4,3,5,2,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,6,11,0,3,12,8,2150,62.5,0,0,0,4,0,0,7,1,1,1,0,1,5,8,0,0,1
1,9,1246,16062,1,1,0,212,310,7,2,-,2,24,0,70612,1135,1159,0,70612,1135,1159,,3,99,1,,,,5,,,,,,,2,,,,5,NO TRABAJA,2,2,,,,,,,,,LO QUE QUITAN PARA COMPRAR UNA CASA CUANDO TRABAJAMOS,,20456,3,1,17,23,4,0,1,2,1,201,18,6,1987,9,1,4,3,,,,2,2,1,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,4,1,2,2,7,2,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9,1246,16062,5,1,0,212,310,168,1,-,2,43,0,70612,2020,2045,0,70612,2020,2045,,1,55,1,,,,,,,8,,,QUIZAS TRABAJE LO ESTA PENSANDO,2,,,,1,,1,1,1,CONTADORA,,,,2,2,2,FONDO DE AHORRO PARA EL RETIRO PARA SU BIENESTAR Y DE SU FAMILIA,,21397,1,1,17,23,4,0,1,2,1,101,12,9,1968,9,1,6,2,1862,2,1,2,2,5,,,,,,,1,1,1870,1,1,1,1,4,4,4,6,6,3,4,3,11,4,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,3,2,4,6,11,2,3,11,45,6000,31.00775,0,0,0,1,0,0,20,1,2,2,0,3,2,5,0,1,1
1,9,1269,33701,1,1,0,212,510,15,2,-,2,24,0,70612,2100,2115,0,70612,2100,2115,SE VISITO VARIAS VECES SIN LOCALIZAR R 2 SE TOMARON LOS DATOS POR TELEFONO,2,50,,,,4,,,,,,,,1,1,,2,,,2,2,,,,,,,,,TENER DINERO EN SU VEJEZ,SE VISITO VARIAS VECES SIN LOCALIZAR R 2 SE TOMARON LOS DATOS POR TELEFONO,20152,1,1,12,33,8,0,1,5,1,301,18,12,1987,9,1,7,4,3111,3,1,1,0,6,,,,,,,1,1,1870,1,1,1,2,1,1,5,6,7,1,4,2,4,4,3,0,1,1,0,2,0,0,0,0,0,1,2,5,0,0,0,0,4,1,2,2,7,1,3,16,45,10000,51.679588,0,0,0,4,0,0,4,1,1,2,0,3,1,2,0,1,0
1,9,1270,14081,5,1,0,212,510,147,1,-,1,50,0,50612,1910,1930,0,50612,1910,1930,COMENTA QUE NO ESTA INSCRITO EN ALGUNA AFORE,3,88,1,,,,,,,,,,,2,,,,1,,1,2,,,,,,,,,DINERO QUE UNO JUNTA PARA CUANDO SE JUVILE O PENSIONE,COMENTA QUE NO ESTA INSCRITO EN ALGUNA AFORE,20261,1,1,5,32,7,0,1,5,1,101,20,11,1961,9,1,5,4,7110,2,1,2,,1,,,,,,,1,1,1870,1,1,1,1,4,2,5,6,6,3,4,3,9,4,2,5,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,3,3,5,8,13,0,3,13,45,12000,62.015499,0,0,0,2,0,0,15,1,2,2,0,3,2,7,0,0,1
