client,mode,price,crate,dbeach,dpier,dprivate,dcharter,pbeach,ppier,pprivate,pcharter,qbeach,qpier,qprivate,qcharter,income
104,4,54.740002,.64560002,0,0,0,1,42.77,42.77,19.74,54.740002,.0678,.078900002,.0559,.64560002,2083.3333
105,4,91.239998,.1726,0,0,0,1,261.366,261.366,61.740002,91.239998,.0678,.0052,.073200002,.1726,7916.6665
106,4,181.77,.39750001,0,0,0,1,268.702,268.702,146.77,181.77,.53329998,.4522,.1665,.39750001,8750.001
107,4,246.10201,2.3013999,0,0,0,1,55.740002,55.740002,221.10201,246.10201,.25369999,.1498,.68169999,2.3013999,7083.3315
108,4,67.239998,.1726,0,0,0,1,159.76601,159.76601,37.740002,67.239998,.0678,.0052,.073200002,.1726,4583.332
109,2,16.77,.078900002,0,1,0,0,16.77,16.77,32.765999,61.765999,.0678,.078900002,.16429999,.53909999,416.66669
110,3,68.769997,.2413,0,0,1,0,125.902,125.902,68.769997,103.77,.53329998,.4522,.2413,1.0266,3750
111,3,58.32,.0108,0,0,1,0,56.862,56.862,58.32,93.32,.0678,.0024999999,.0108,.2377,5416.6665
112,4,61.32,.2377,0,0,0,1,25.662001,25.662001,26.32,61.32,.0678,.0024999999,.0108,.2377,2083.3333
113,4,47.82,.1726,0,0,0,1,46.257999,46.257999,18.32,47.82,.0678,.0052,.073200002,.1726,1249.9998
114,1,42.32,.25369999,1,0,0,0,42.32,42.32,42.32,60.82,.25369999,.1498,.0233,.0219,3750
115,4,101.32,.64560002,0,0,0,1,64.662003,64.662003,66.32,101.32,.0678,.078900002,.0559,.64560002,6250.0015
116,4,65.262001,.46709999,0,0,0,1,42.32,42.32,41.262001,65.262001,.1049,.0451,.1574,.46709999,3750
117,3,58.32,.0233,0,0,1,0,58.32,58.32,58.32,76.82,.25369999,.1498,.0233,.0219,5416.6665
118,4,108.002,.0209,0,0,0,1,77.234001,77.234001,73.001999,108.002,.0678,.078900002,.0102,.0209,3750
119,4,97.634003,1.0266,0,0,0,1,150.14999,150.14999,62.633999,97.634003,.53329998,.4522,.2413,1.0266,2916.6665
120,4,296.552,.0041,0,0,0,1,135.634,135.634,267.552,296.552,.0678,.078900002,.16429999,.0041,7083.3315
121,1,73.001999,.25369999,1,0,0,0,73.001999,73.001999,73.001999,91.501999,.25369999,.1498,.2339,.62879997,3750
122,3,94.739998,.089699998,0,0,1,0,205.27,205.27,94.739998,129.74001,.0678,.078900002,.089699998,1.0905,12499.998
123,4,60.740002,1.0905,0,0,0,1,55.77,55.77,25.74,60.740002,.0678,.078900002,.089699998,1.0905,2916.6665
124,1,61.740002,.25369999,1,0,0,0,61.740002,61.740002,74.087997,92.587997,.25369999,.1498,.2339,.62879997,7916.6665
125,3,55.740002,.0102,0,0,1,0,120.77,120.77,55.740002,90.739998,.0678,.078900002,.0102,.0209,7083.3315
126,4,102.74,.0209,0,0,0,1,146.77,146.77,67.739998,102.74,.0678,.078900002,.0102,.0209,8750.001
127,2,55.740002,.1498,0,1,0,0,55.740002,55.740002,66.888,85.388,.25369999,.1498,.2339,.62879997,7083.3315
128,4,61.240002,.1726,0,0,0,1,134.366,134.366,31.74,61.240002,.0678,.0052,.073200002,.1726,3750
129,2,49.740002,.1498,0,1,0,0,49.740002,49.740002,59.688,78.188004,.25369999,.1498,.2339,.62879997,6250.0015
130,3,94.739998,.0102,0,0,1,0,205.27,205.27,94.739998,129.74001,.0678,.078900002,.0102,.0209,12499.998
131,3,94.739998,.0108,0,0,1,0,205.27,205.27,94.739998,129.74001,.0678,.0024999999,.0108,.2377,12499.998
132,4,84.739998,.64560002,0,0,0,1,107.77,107.77,49.740002,84.739998,.0678,.078900002,.0559,.64560002,6250.0015
133,3,61.740002,.073200002,0,0,1,0,261.366,261.366,61.740002,91.239998,.0678,.0052,.073200002,.1726,7916.6665
134,3,25.74,.0143,0,0,1,0,108.966,108.966,25.74,55.240002,.0678,.050299998,.0143,.028899999,2916.6665
135,3,67.739998,.0143,0,0,1,0,286.76599,286.76599,67.739998,97.239998,.0678,.050299998,.0143,.028899999,8750.001
136,3,205.27,.0156,0,0,1,0,375.802,375.802,205.27,240.27,.53329998,.4522,.0156,.0057999999,12499.998
137,4,66.739998,.2377,0,0,0,1,68.769997,68.769997,31.74,66.739998,.0678,.0024999999,.0108,.2377,3750
138,4,66.739998,.64560002,0,0,0,1,68.769997,68.769997,31.74,66.739998,.0678,.078900002,.0559,.64560002,3750
139,4,52.862,.42160001,0,0,0,1,67.783997,67.783997,17.862,52.862,.53329998,.0068999999,.0361,.42160001,1249.9998
140,4,84.061996,1.0266,0,0,0,1,186.18401,186.18401,49.062,84.061996,.53329998,.4522,.2413,1.0266,4583.332
141,3,66.32,.2339,0,0,1,0,66.32,66.32,66.32,84.82,.25369999,.1498,.2339,.62879997,6250.0015
142,4,45.062,.39750001,0,0,0,1,38.183998,38.183998,10.062,45.062,.53329998,.4522,.1665,.39750001,416.66669
143,3,74.32,.089699998,0,0,1,0,72.461998,72.461998,74.32,109.32,.0678,.078900002,.089699998,1.0905,7083.3315
144,4,85.32,.2377,0,0,0,1,49.062,49.062,50.32,85.32,.0678,.0024999999,.0108,.2377,4583.332
145,3,94.505997,.2413,0,0,1,0,333.258,333.258,94.505997,129.506,.53329998,.4522,.2413,1.0266,6250.0015
146,4,84.306,.0046000001,0,0,0,1,85.697998,85.697998,60.306,84.306,.1049,.0451,.0023000001,.0046000001,3750
147,4,185.198,.2773,0,0,0,1,166.698,166.698,166.698,185.198,.25369999,.0014,.062600002,.2773,7916.6665
148,4,106.706,.0057999999,0,0,0,1,252.858,252.858,71.706001,106.706,.53329998,.4522,.0156,.0057999999,4583.332
149,3,182.89799,.089699998,0,0,1,0,128.70599,128.70599,182.89799,217.89799,.0678,.078900002,.089699998,1.0905,8750.001
150,4,95.306,.0057999999,0,0,0,1,212.658,212.658,60.306,95.306,.53329998,.4522,.0156,.0057999999,3750
151,4,95.306,.0057999999,0,0,0,1,212.658,212.658,60.306,95.306,.53329998,.4522,.0156,.0057999999,3750
152,4,61.105999,.0057999999,0,0,0,1,92.057999,92.057999,26.106001,61.105999,.53329998,.4522,.0156,.0057999999,1249.9998
153,3,63.172001,.061299998,0,0,1,0,139.35001,139.35001,63.172001,87.171997,.1049,.0078999996,.061299998,.3087,7083.3315
154,3,49.571999,.061299998,0,0,1,0,109.35,109.35,49.571999,73.571999,.1049,.0078999996,.061299998,.3087,5416.6665
155,3,56.372002,.2413,0,0,1,0,323.31,323.31,56.372002,91.372002,.53329998,.4522,.2413,1.0266,6250.0015
156,3,71.213997,.0276,0,0,1,0,71.213997,71.213997,71.213997,96.213997,.0678,.050299998,.0276,.0029,2916.6665
157,3,42.771999,.1574,0,0,1,0,94.349998,94.349998,42.771999,66.772003,.1049,.0451,.1574,.46709999,4583.332
158,4,73.571999,.0046000001,0,0,0,1,109.35,109.35,49.571999,73.571999,.1049,.0451,.0023000001,.0046000001,5416.6665
159,2,49.571999,.078900002,0,1,0,0,49.571999,49.571999,121.014,150.01401,.0678,.078900002,.16429999,.53909999,5416.6665
160,4,70.972,1.0266,0,0,0,1,206.31,206.31,35.972,70.972,.53329998,.4522,.2413,1.0266,3750
161,4,77.772003,1.0266,0,0,0,1,245.31,245.31,42.771999,77.772003,.53329998,.4522,.0051000002,1.0266,4583.332
162,4,70.972,1.0266,0,0,0,1,206.31,206.31,35.972,70.972,.53329998,.4522,.2413,1.0266,3750
163,4,192.31,2.3013999,0,0,0,1,64.349998,64.349998,167.31,192.31,.25369999,.1498,.68169999,2.3013999,2916.6665
164,1,42.771999,.0678,1,0,0,0,42.771999,42.771999,104.414,133.414,.0678,.078900002,.16429999,.53909999,4583.332
165,4,91.372002,.42160001,0,0,0,1,323.31,323.31,56.372002,91.372002,.53329998,.0068999999,.0361,.42160001,6250.0015
166,1,15.572,.0678,1,0,0,0,15.572,15.572,38.014,67.014,.0678,.078900002,.16429999,.53909999,1249.9998
167,3,71.213997,.26010001,0,0,1,0,71.213997,71.213997,71.213997,96.213997,.0678,.050299998,.26010001,.53909999,2916.6665
168,3,94.349998,.0143,0,0,1,0,104.414,104.414,94.349998,123.85,.0678,.050299998,.0143,.028899999,4583.332
169,1,124.35,.25369999,1,0,0,0,124.35,124.35,124.35,142.85001,.25369999,.1498,.2339,.62879997,6250.0015
170,4,129.414,.53909999,0,0,0,1,104.414,104.414,104.414,129.414,.0678,.050299998,.26010001,.53909999,4583.332
171,3,175.748,.0233,0,0,1,0,175.748,175.748,175.748,194.248,.25369999,.1498,.0233,.0219,6250.0015
172,3,72.900002,.0361,0,0,1,0,335.34,335.34,72.900002,107.9,.53329998,.0068999999,.0361,.42160001,5416.6665
173,4,87.900002,.0057999999,0,0,0,1,243.34,243.34,52.900002,87.900002,.53329998,.4522,.0156,.0057999999,3750
174,1,22.372,.0678,1,0,0,0,22.372,22.372,54.613998,83.613998,.0678,.078900002,.16429999,.53909999,2083.3333
175,4,70.972,.42160001,0,0,0,1,206.31,206.31,35.972,70.972,.53329998,.0068999999,.0361,.42160001,3750
176,4,99.349998,1.0905,0,0,0,1,29.172001,29.172001,64.349998,99.349998,.0678,.078900002,.089699998,1.0905,2916.6665
177,3,56.372002,.0051000002,0,0,1,0,323.31,323.31,56.372002,91.372002,.53329998,.4522,.0051000002,1.0266,6250.0015
178,4,114.35,.64560002,0,0,0,1,35.972,35.972,79.349998,114.35,.0678,.078900002,.0559,.64560002,3750
179,3,63.172001,.2413,0,0,1,0,362.31,362.31,63.172001,98.171997,.53329998,.4522,.2413,1.0266,7083.3315
180,4,93.849998,.324,0,0,0,1,71.213997,71.213997,64.349998,93.849998,.0678,.050299998,.1082,.324,2916.6665
181,1,49.571999,.0678,1,0,0,0,49.571999,49.571999,121.014,150.01401,.0678,.078900002,.16429999,.53909999,5416.6665
182,4,67.603996,1.0266,0,0,0,1,151.008,151.008,32.604,67.603996,.53329998,.4522,.2413,1.0266,2916.6665
183,4,75.204002,1.0266,0,0,0,1,186.20799,186.20799,40.203999,75.204002,.53329998,.4522,.2413,1.0266,3750
184,3,26.106001,.0361,0,0,1,0,92.057999,92.057999,26.106001,61.105999,.53329998,.0068999999,.0361,.42160001,1249.9998
185,3,57.903999,.0014,0,0,1,0,37.506001,37.506001,57.903999,86.903999,.0678,.078900002,.0014,.0029,2083.3333
186,4,72.505997,1.0266,0,0,0,1,132.258,132.258,37.506001,72.505997,.53329998,.4522,.2413,1.0266,2083.3333
187,4,106.706,.42160001,0,0,0,1,252.858,252.858,71.706001,106.706,.53329998,.0068999999,.0361,.42160001,4583.332
188,3,71.706001,.0361,0,0,1,0,252.858,252.858,71.706001,106.706,.53329998,.0068999999,.0361,.42160001,4583.332
189,1,34.914001,.25369999,1,0,0,0,34.914001,34.914001,34.914001,53.414001,.25369999,.1498,.2339,.62879997,3750
190,4,127.848,.0209,0,0,0,1,63.004002,63.004002,92.848,127.848,.0678,.078900002,.0102,.0209,6250.0015
191,4,117.404,.3087,0,0,0,1,137.64799,137.64799,93.403999,117.404,.1049,.0078999996,.061299998,.3087,9583.3359
192,4,82.804001,1.0266,0,0,0,1,221.408,221.408,47.804001,82.804001,.53329998,.4522,.0051000002,1.0266,4583.332
193,3,35.972,.1665,0,0,1,0,206.31,206.31,35.972,70.972,.53329998,.4522,.1665,.39750001,3750
194,2,21.714001,.1498,0,1,0,0,21.714001,21.714001,21.714001,40.214001,.25369999,.1498,.2339,.62879997,2083.3333
195,4,50.113998,.0209,0,0,0,1,10.534,10.534,15.114,50.113998,.0678,.078900002,.0102,.0209,1249.9998
196,4,70.972,1.0266,0,0,0,1,206.31,206.31,35.972,70.972,.53329998,.4522,.2413,1.0266,3750
197,4,106.706,.39750001,0,0,0,1,252.858,252.858,71.706001,106.706,.53329998,.4522,.1665,.39750001,4583.332
198,2,75.503998,.050299998,0,1,0,0,75.503998,75.503998,75.503998,100.504,.0678,.050299998,.26010001,.53909999,2916.6665
199,4,72.098,.2377,0,0,0,1,26.106001,26.106001,37.098,72.098,.0678,.0024999999,.0108,.2377,1249.9998
200,4,50.397999,.1176,0,0,0,1,22.704,22.704,20.898001,50.397999,.0678,.050299998,.0016,.1176,416.66669
201,3,101.898,.0559,0,0,1,0,71.706001,71.706001,101.898,136.89799,.0678,.078900002,.0559,.64560002,4583.332
202,1,117.306,.0678,1,0,0,0,117.306,117.306,181.104,210.104,.0678,.078900002,.16429999,.53909999,7916.6665
203,4,163.70599,.42160001,0,0,0,1,453.858,453.858,128.70599,163.70599,.53329998,.0068999999,.0361,.42160001,8750.001
204,2,26.106001,.0024999999,0,1,0,0,26.106001,26.106001,40.304001,69.304001,.0678,.0024999999,.049899999,.2421,1249.9998
205,4,72.505997,1.0266,0,0,0,1,132.258,132.258,37.506001,72.505997,.53329998,.4522,.2413,1.0266,2083.3333
206,3,69.498001,.2339,0,0,1,0,69.498001,69.498001,69.498001,87.998001,.25369999,.1498,.2339,.62879997,2916.6665
207,3,48.905998,.0023000001,0,0,1,0,69.498001,69.498001,48.905998,72.905998,.1049,.0451,.0023000001,.0046000001,2916.6665
208,3,47.804001,.1574,0,0,1,0,70.447998,70.447998,47.804001,71.804001,.1049,.0451,.1574,.46709999,4583.332
209,4,141.64,.0029,0,0,0,1,116.64,116.64,116.64,141.64,.0678,.050299998,.0276,.0029,5416.6665
210,2,47.804001,.078900002,0,1,0,0,47.804001,47.804001,100.64,129.64,.0678,.078900002,.0014,.0029,4583.332
211,4,52.403999,1.0266,0,0,0,1,80.608002,80.608002,17.403999,52.403999,.53329998,.4522,.2413,1.0266,1249.9998
212,4,387.20801,2.3013999,0,0,0,1,115.248,115.248,362.20801,387.20801,.25369999,.1498,.68169999,2.3013999,7916.6665
213,4,98.003998,.0057999999,0,0,0,1,291.80801,291.80801,63.004002,98.003998,.53329998,.4522,.0156,.0057999999,6250.0015
214,2,32.604,.078900002,0,1,0,0,32.604,32.604,68.639999,97.639999,.0678,.078900002,.16429999,.53909999,2916.6665
215,4,61.639999,.2421,0,0,0,1,36.639999,36.639999,36.639999,61.639999,.0678,.0052,.14910001,.2421,1249.9998
216,4,40.933998,1.0266,0,0,0,1,39.473999,39.473999,5.934,40.933998,.53329998,.4522,.2413,1.0266,416.66669
217,1,120.004,.0678,1,0,0,0,120.004,120.004,252.64,281.64001,.0678,.078900002,.16429999,.53909999,12499.998
218,4,50.133999,.0057999999,0,0,0,1,100.674,100.674,15.134,50.133999,.53329998,.4522,.0156,.0057999999,2083.3333
219,4,68.533997,.0057999999,0,0,0,1,223.07401,223.07401,33.534,68.533997,.53329998,.4522,.0156,.0057999999,5416.6665
