sex,age,educyr98,farm,urban98,hhsize,lhhexp1,lhhex12m,lnrlfood
1,73,3,non farm,Urban,2,8.9617853,7.8119736,8.4367332
2,62,3,non farm,Urban,5,10.0005,5.2729998,9.1951532
2,58,5,non farm,Urban,4,10.178802,9.0106688,9.5297794
1,56,21,non farm,Urban,5,10.605148,,9.6358156
2,53,9,non farm,Urban,6,9.8769531,6.5510802,9.3156195
2,65,0,non farm,Urban,1,8.7601252,7.0647593,8.2741823
2,32,15,non farm,Urban,4,10.373926,,9.6993465
1,52,11,non farm,Urban,4,10.032743,7.3524413,9.2607107
1,50,9,non farm,Urban,5,10.12884,6.253829,9.3543577
1,71,14,non farm,Urban,4,10.111451,9.4048376,9.1938372
1,87,0,non farm,Urban,5,9.7857161,7.0076008,8.8384724
1,44,15,non farm,Urban,4,10.203011,4.1743875,9.3383284
1,47,14,non farm,Urban,5,10.607146,5.9889612,9.7368908
1,27,9,non farm,Urban,3,10.550159,7.2997975,9.5737448
1,38,10,non farm,Urban,4,10.203911,8.1047039,9.2569656
1,34,13,non farm,Urban,4,9.8633423,5.7004437,8.9723101
2,70,5,non farm,Urban,3,9.4913397,6.4769726,8.9779825
1,55,9,non farm,Urban,4,10.201694,8.8283472,9.2026453
1,73,2,non farm,Urban,3,9.8800621,10.049318,9.0531559
1,39,6,non farm,Urban,3,9.4878883,7.7297354,8.6058474
2,45,12,non farm,Urban,4,9.5629025,6.4769726,8.603507
1,48,10,non farm,Urban,7,10.722919,6.4769726,9.8301859
2,45,12,non farm,Urban,5,11.134987,9.1226015,9.949111
2,48,17,non farm,Urban,4,11.389431,6.8134446,10.263511
1,43,9,non farm,Urban,3,10.441025,7.52564,9.3836184
2,39,15,non farm,Urban,4,10.3635,4.5538769,9.4124374
2,74,0,non farm,Urban,2,9.9651575,7.9585767,8.940217
1,58,15,non farm,Urban,4,10.450796,8.3799982,9.2370672
2,50,14,non farm,Urban,8,10.764456,9.1388445,9.9481478
2,54,14,non farm,Urban,5,10.100365,8.2024822,8.9527845
1,85,5,non farm,Urban,3,9.7794104,4.8675346,8.6041861
2,64,15,non farm,Urban,7,10.686047,7.1754899,9.5729227
2,53,9,non farm,Urban,4,9.8236303,8.2852612,8.7647781
1,63,9,non farm,Urban,4,10.231028,6.1202974,9.119338
1,35,12,non farm,Urban,4,10.162961,7.474205,9.0983686
2,51,18,non farm,Urban,4,10.886961,9.5634594,9.6874981
2,49,17,non farm,Urban,5,10.969246,,10.387337
1,45,22,non farm,Urban,3,10.586207,,9.6050663
1,73,5,non farm,Urban,2,9.288619,7.4169798,8.5185385
2,64,9,non farm,Urban,3,9.9025126,6.8068295,8.7359495
1,63,9,non farm,Urban,5,9.620719,5.7037826,8.8858547
1,56,20,non farm,Urban,3,10.074628,,9.2642527
2,55,16,non farm,Urban,2,10.025664,3.6635616,8.7949448
1,37,16,non farm,Urban,4,10.267363,,9.1875629
1,76,17,non farm,Urban,2,9.6709328,8.5564137,8.7824793
1,60,16,non farm,Urban,7,11.140287,5.8607864,9.9718666
1,54,17,non farm,Urban,7,11.233638,7.9585767,10.299031
1,71,14,non farm,Urban,2,9.2707233,8.2852612,8.2999096
1,66,17,non farm,Urban,3,9.8801041,,8.9915266
2,58,9,farm,Urban,1,9.4244633,,8.3442354
2,40,16,non farm,Urban,2,9.5558748,5.8200831,8.8226376
2,59,5,non farm,Urban,2,9.4937038,6.5072775,8.414134
1,47,16,non farm,Urban,4,9.5200844,4.6051702,8.6514645
1,62,12,non farm,Urban,3,10.016251,4.6443911,9.263073
1,40,15,non farm,Urban,4,10.39613,12.363247,9.1394053
1,48,15,non farm,Urban,3,10.521275,6.84588,9.5685577
1,38,9,non farm,Urban,4,9.8820257,.69314718,9.0345325
1,71,16,non farm,Urban,4,10.79859,9.1160297,9.8543606
2,74,1,non farm,Urban,1,8.1744318,,7.4805036
1,64,17,non farm,Urban,5,10.686918,3.4011974,9.6865883
1,59,9,non farm,Urban,5,9.966217,,8.7539091
1,38,12,non farm,Urban,2,9.9005127,8.1925707,9.0301104
2,25,12,non farm,Urban,5,11.177889,4.7095304,10.262674
1,70,7,non farm,Urban,3,9.3779669,4.7621741,8.4070683
1,60,9,non farm,Urban,4,10.127462,,9.7621641
2,38,11,non farm,Urban,4,10.419636,7.2189097,9.4548702
2,34,12,non farm,Urban,4,9.9065924,,8.6123466
1,42,15,non farm,Urban,4,10.173185,6.0185933,8.9804878
1,49,15,non farm,Urban,4,10.190653,5.7004437,9.0503893
2,64,9,non farm,Urban,5,10.238523,7.3524413,9.0197515
1,71,14,non farm,Urban,2,9.1914654,4.8675346,8.6519327
1,43,13,non farm,Urban,4,10.954949,8.0864105,9.6589327
1,45,16,non farm,Urban,4,10.461131,6.5722823,9.2444849
1,46,8,non farm,Urban,4,9.0964756,7.2189097,8.514739
1,72,16,non farm,Urban,2,9.5925751,8.0455885,8.76192
1,42,17,non farm,Urban,4,9.6555309,8.5564137,8.6183577
1,56,14,non farm,Urban,5,10.058272,5.3375382,9.0115528
1,52,9,non farm,Urban,4,10.114881,7.5755849,8.9193554
1,54,12,farm,Urban,7,10.533561,9.569622,8.6289291
1,42,9,non farm,Urban,4,10.85748,8.2940493,9.6984682
1,45,6,non farm,Urban,5,9.4200821,,8.938323
1,59,15,non farm,Urban,9,10.966255,5.7037826,10.225223
1,47,17,non farm,Urban,4,10.763887,,9.7479763
1,72,12,non farm,Urban,4,9.8264999,8.1707516,8.7754402
1,64,6,non farm,Urban,7,10.280957,7.2654295,9.1023951
1,59,14,non farm,Urban,5,10.366469,7.0076008,8.7911291
2,41,15,non farm,Urban,4,9.8511543,4.919981,8.8978596
1,41,10,non farm,Urban,5,10.774164,7.9287663,9.4043589
1,51,9,non farm,Urban,4,10.08527,7.1701198,8.4793253
1,58,15,non farm,Urban,2,9.3409634,3.2580965,8.2648344
2,54,3,non farm,Urban,8,9.3962841,8.3428402,8.8534193
1,66,21,non farm,Urban,3,10.881658,,9.9007597
1,67,5,non farm,Urban,5,10.077023,7.0308576,8.8683395
1,44,15,non farm,Urban,4,9.695097,3.6888795,8.9317875
1,42,13,non farm,Urban,4,10.103336,5.480639,9.2958174
1,38,10,non farm,Urban,4,9.2665195,4.7621741,8.7450571
1,40,15,non farm,Urban,5,11.587888,4.8202815,8.9362726
2,33,17,non farm,Urban,2,10.481507,4.2766662,9.1246214
2,40,12,non farm,Urban,1,9.2555208,,8.4523191
2,67,5,non farm,Urban,2,9.1071548,3.6635616,8.51474
1,36,5,non farm,Urban,3,10.012126,9.3800831,9.1020079
1,62,5,non farm,Urban,5,9.4113541,,8.9225578
1,43,13,non farm,Urban,6,10.694829,5.4595857,9.5078735
1,37,14,non farm,Urban,6,10.786384,7.374002,9.9738932
1,45,14,non farm,Urban,4,9.1017065,8.0864105,8.1805668
1,60,12,non farm,Urban,4,9.7146482,,8.8884621
1,35,13,non farm,Urban,3,9.4506607,5.1298985,8.8161154
2,44,15,non farm,Urban,8,10.624736,6.9660244,9.7569752
2,56,5,non farm,Urban,4,8.5126143,6.7274318,7.8174825
2,55,13,non farm,Urban,3,9.7419481,5.2040067,8.6589737
1,71,5,non farm,Urban,4,11.308104,10.637056,9.3258162
1,29,12,non farm,Urban,4,11.125457,5.1704841,9.6874561
1,36,9,non farm,Urban,4,10.581633,3.6888795,9.5988455
1,50,20,non farm,Urban,5,9.7761068,5.659482,9.0668736
1,37,15,non farm,Urban,4,9.8973503,5.5872488,9.1167059
1,59,15,non farm,Urban,3,9.2264242,4.6443911,8.7637186
2,59,15,non farm,Urban,2,10.53063,7.0867381,8.7744169
2,59,15,non farm,Urban,1,8.255619,5.5093884,7.47966
1,55,16,non farm,Urban,5,11.121235,,9.6580563
1,48,14,non farm,Urban,6,11.396708,7.3524413,10.071893
1,40,13,non farm,Urban,6,10.961018,8.1297646,10.057001
1,39,9,non farm,Urban,2,9.155262,7.8709297,8.3414383
2,86,0,non farm,Urban,2,9.1010427,6.5722823,8.4761477
1,36,15,non farm,Urban,7,11.193448,,10.239938
2,23,12,non farm,Urban,2,9.6013012,,8.7232819
1,65,3,non farm,Urban,8,10.16326,7.1467724,9.3911753
2,48,9,non farm,Urban,9,10.449168,6.2785215,9.5996323
2,30,14,non farm,Urban,1,9.0531759,,8.3093843
2,48,5,non farm,Urban,5,9.3325119,4.1743875,8.5716162
2,70,0,non farm,Urban,2,9.3541298,6.1202974,8.7014742
2,66,0,farm,Urban,3,9.9377518,8.3790798,8.8187799
1,61,15,farm,Urban,3,9.1850843,,8.7122736
1,66,1,farm,Urban,4,9.8121033,7.8976684,8.9645119
1,69,3,farm,Urban,2,9.0249033,4.1743875,8.2948532
1,46,9,farm,Urban,5,9.8576031,3.2580965,9.1772089
2,60,15,non farm,Urban,7,10.270544,7.7323694,9.5018253
2,67,1,farm,Urban,2,8.9637041,8.3079529,8.1297188
2,46,14,non farm,Urban,3,9.9459028,6.0497336,8.9554434
1,72,6,farm,Urban,2,9.1470518,8.1732931,8.10886
2,81,2,non farm,Urban,5,10.222477,4.356709,9.3244123
1,41,9,non farm,Urban,4,10.090413,8.0030289,9.0507307
2,43,15,non farm,Urban,5,10.51935,7.5065918,9.4203787
2,56,13,non farm,Urban,3,9.0009136,5.8971539,8.3612938
1,36,12,non farm,Urban,4,9.9665842,9.5588827,8.9735365
2,68,5,farm,Urban,2,9.3861694,6.8416157,8.5849724
2,44,16,non farm,Urban,3,11.074312,,9.742034
2,39,4,non farm,Urban,3,8.8991327,5.8607864,8.2120085
1,50,21,non farm,Urban,4,10.05853,,8.858182
2,56,6,non farm,Urban,4,10.234941,7.1899223,9.276206
2,69,5,non farm,Urban,5,9.9081774,6.921658,9.4802589
1,59,12,non farm,Urban,1,9.0546761,6.6758232,8.3404818
2,39,14,non farm,Urban,4,10.599674,,10.016759
2,72,0,farm,Urban,1,8.1087475,4.356709,7.6132579
1,35,9,farm,Urban,3,9.4946241,7.2334552,8.6429577
2,55,3,farm,Urban,3,8.9305019,6.1202974,8.3468466
2,40,15,non farm,Urban,1,8.3677959,5.5606818,7.7389493
1,42,12,non farm,Urban,4,9.7149963,6.4769726,8.3616762
1,55,13,non farm,Urban,1,9.5357475,8.2348299,8.5657768
1,44,12,non farm,Urban,4,10.769825,6.3902407,9.7321682
2,67,2,non farm,Urban,2,9.5638494,9.1921768,8.4326792
1,73,9,non farm,Urban,6,10.49625,6.5439119,9.3589859
2,29,11,non farm,Urban,1,9.7101431,,8.4891453
1,60,19,non farm,Urban,4,10.812691,7.2442274,9.5422268
1,40,16,non farm,Urban,4,10.150172,7.8280382,9.218749
2,78,4,non farm,Urban,4,11.410066,10.762149,10.22517
2,62,5,non farm,Urban,7,10.55321,6.3491392,9.7567034
2,65,2,non farm,Urban,2,9.3320169,,8.6018772
2,45,4,non farm,Urban,4,11.068552,5.9661469,9.8597412
2,62,11,non farm,Urban,2,9.7488508,6.6592941,9.0750523
2,58,7,non farm,Urban,6,10.398848,8.0646362,9.2712173
1,37,12,non farm,Urban,3,10.668172,6.8134446,9.3459826
1,24,11,non farm,Urban,4,9.5362806,7.1701198,8.7350178
2,29,8,non farm,Urban,5,11.451391,7.5755849,9.8099346
1,48,9,non farm,Urban,5,10.838922,9.3501024,9.4522581
1,69,6,non farm,Urban,7,10.484964,8.0879478,9.3453074
2,62,2,non farm,Urban,4,9.7468138,6.4769726,9.0587063
1,39,9,non farm,Urban,9,11.2093,8.1446791,9.9024153
1,29,12,non farm,Urban,3,9.9131622,8.2687321,8.9071789
2,41,9,non farm,Urban,10,10.303907,8.8007164,9.5121517
2,65,2,non farm,Urban,6,9.0274773,5.5606818,8.2811575
1,30,8,non farm,Urban,5,10.27306,7.0166097,9.3413486
1,31,11,non farm,Urban,3,10.511066,3.4011974,9.5188951
2,40,3,non farm,Urban,3,9.5717402,5.7838254,8.9162178
1,33,12,non farm,Urban,4,10.311189,8.0264969,9.3169727
1,47,9,non farm,Urban,4,10.558662,5.2470241,9.2786636
2,43,15,non farm,Urban,5,10.703022,6.8243737,9.5563946
1,67,10,non farm,Urban,9,11.338722,8.6333752,10.151297
2,57,6,non farm,Urban,4,9.8752718,,9.0777578
2,38,15,non farm,Urban,3,10.590384,7.8766384,9.2895575
2,61,17,non farm,Urban,3,10.104024,10.502324,8.7371721
2,71,20,non farm,Urban,1,9.7028637,8.7371321,7.7483397
1,72,6,non farm,Urban,3,10.010612,5.7004437,9.0136538
2,83,12,non farm,Urban,4,10.66506,9.2619839,8.7182598
2,69,15,non farm,Urban,1,9.6918516,6.7334018,8.233984
2,57,20,non farm,Urban,4,11.053569,,9.9062252
1,71,12,non farm,Urban,3,10.490375,9.5030098,9.0788984
2,57,2,non farm,Urban,2,10.83654,5.5606818,9.0011339
2,71,2,non farm,Urban,1,9.3420925,5.7838254,8.382802
2,57,5,non farm,Urban,4,10.585598,9.057189,9.0297375
2,60,3,non farm,Urban,4,10.739534,9.6550264,9.1307878
2,52,10,non farm,Urban,1,9.0484257,,7.7132063
2,72,9,non farm,Urban,4,9.7688103,9.1344309,8.1457777
2,59,17,non farm,Urban,5,10.395117,4.8675346,9.2743406
2,43,13,non farm,Urban,4,10.704059,,9.8706369
1,39,12,non farm,Urban,4,9.8116808,3.2580965,8.579771
1,52,15,non farm,Urban,4,10.208088,8.2139235,9.0238571
1,39,12,non farm,Urban,3,10.576586,8.4228821,9.3163204
1,81,13,non farm,Urban,2,9.4238224,5.9661469,8.7226868
2,52,9,non farm,Urban,6,11.373822,8.4621029,10.046555
1,40,12,non farm,Urban,7,11.128551,6.5722823,10.181963
2,32,9,non farm,Urban,4,10.505609,7.4091363,8.8744116
2,57,5,non farm,Urban,8,11.133928,7.2861919,10.027485
1,69,9,non farm,Urban,4,10.170901,5.5606818,8.9084816
1,43,15,non farm,Urban,3,10.298227,8.4682131,8.5236788
1,36,10,non farm,Urban,4,10.528333,8.922658,9.3573627
1,45,9,non farm,Urban,1,9.3082867,4.7621741,8.2153063
2,82,0,non farm,Urban,1,9.1594772,7.8280382,8.1895723
2,45,16,non farm,Urban,2,10.400835,,9.2185745
1,49,9,non farm,Urban,5,10.469443,,9.6612377
1,56,9,non farm,Urban,6,10.197947,6.0306854,9.4767942
2,37,7,non farm,Urban,3,10.0602,,8.9420938
1,51,12,non farm,Urban,8,11.09154,9.6550264,9.8813057
1,40,12,non farm,Urban,4,10.65511,,9.4648666
2,76,0,non farm,Urban,3,9.1422825,,8.6333485
1,51,10,non farm,Urban,2,9.4193068,,8.8633251
1,44,2,non farm,Urban,5,9.7014761,6.9077554,8.7672949
2,54,0,non farm,Urban,2,8.9130545,4.8675346,8.3830442
2,27,3,non farm,Urban,4,9.3159189,6.9469762,8.6918364
2,57,11,non farm,Urban,1,8.8130093,5.2983174,8.2223854
1,75,2,non farm,Urban,4,9.7852373,7.791523,9.1098261
2,51,4,non farm,Urban,6,10.108385,7.4702239,9.3972807
2,66,5,non farm,Urban,2,10.760895,,9.1198578
2,57,5,non farm,Urban,4,10.659352,5.9661469,9.5880737
1,49,12,non farm,Urban,6,11.079759,6.5117455,10.200297
2,47,1,non farm,Urban,5,9.5643473,5.9661469,9.0754871
1,44,6,non farm,Urban,3,10.18856,4.8675346,9.1066732
2,74,0,non farm,Urban,5,9.8378029,5.5606818,8.9353285
2,65,7,non farm,Urban,3,10.546634,8.4675827,9.8144274
1,29,6,non farm,Urban,1,9.160284,6.253829,8.4533138
1,56,8,non farm,Urban,8,11.332842,7.7906961,10.202493
1,51,12,non farm,Urban,5,10.483783,,9.6328945
2,56,8,non farm,Urban,4,11.121936,10.411479,9.4071598
1,42,12,non farm,Urban,5,11.164053,7.9098568,9.5870304
2,67,5,non farm,Urban,4,10.211978,9.3391733,9.2244005
2,42,7,non farm,Urban,5,10.525212,6.4769726,9.5867395
2,51,3,non farm,Urban,5,9.645153,,9.1876421
1,67,12,non farm,Urban,4,10.346369,7.04316,9.2430439
2,44,12,non farm,Urban,4,10.084743,6.7080841,9.2303391
2,32,5,non farm,Urban,4,9.8029623,4.356709,8.7939835
2,38,5,non farm,Urban,6,9.8843012,8.6208324,8.9154482
2,56,5,non farm,Urban,4,9.4758196,5.7838254,8.7833576
1,65,2,non farm,Urban,2,9.4390764,5.9661469,8.7576447
1,67,4,non farm,Urban,7,11.623124,5.3375382,10.284389
1,44,8,non farm,Urban,3,9.6204767,7.3524413,8.9061832
2,43,12,non farm,Urban,4,10.389925,9.3414564,8.9566078
2,64,3,non farm,Urban,3,10.330273,8.0864105,9.2210951
1,46,6,non farm,Urban,4,9.87848,3.2580965,8.7694616
1,60,9,non farm,Urban,1,10.421888,5.9661469,8.8011351
2,55,4,non farm,Urban,4,9.9926977,,8.9507694
1,32,12,non farm,Urban,7,10.814995,8.0043659,9.5038195
2,34,12,non farm,Urban,4,10.131416,6.7393365,9.2649202
1,58,6,non farm,Urban,1,8.8579998,,8.3756027
1,84,5,non farm,Urban,6,10.330038,7.8536048,9.3654881
1,64,9,non farm,Urban,6,9.824563,4.9628448,9.1736536
1,59,12,non farm,Urban,7,11.045578,,9.3545761
1,56,16,non farm,Urban,5,11.028938,6.253829,9.720253
1,68,5,non farm,Urban,8,10.563833,8.6231737,9.4262371
2,50,7,non farm,Urban,7,10.044454,9.7903185,9.1609507
1,41,16,non farm,Urban,5,10.729346,,9.2311506
2,39,9,non farm,Urban,4,10.302604,5.5093884,9.4047222
1,45,6,non farm,Urban,6,9.8786507,4.5108595,9.0479965
1,59,7,non farm,Urban,5,10.937148,8.6170387,9.4569349
1,64,21,non farm,Urban,2,10.485305,6.4769726,9.1664295
2,45,13,non farm,Urban,3,10.318845,8.2809649,9.0649433
2,43,12,non farm,Urban,4,10.750616,6.3935909,9.1025953
2,61,2,non farm,Urban,19,11.537577,8.8662996,10.606548
1,41,9,non farm,Urban,4,10.481336,7.2654295,9.3196001
2,70,5,non farm,Urban,6,11.753616,8.6287346,9.9873152
1,52,12,non farm,Urban,3,9.953105,,8.6618032
1,62,18,non farm,Urban,5,10.3778,10.023712,9.1181355
2,44,7,non farm,Urban,5,10.795028,6.6253924,9.6452131
2,39,15,non farm,Urban,4,10.439614,6.8134446,9.3348341
2,35,10,non farm,Urban,6,10.099385,10.427832,9.1032934
2,60,0,non farm,Urban,3,8.769002,6.6592941,7.9939404
2,54,15,non farm,Urban,6,10.637033,8.9900675,9.3916407
1,46,11,non farm,Urban,7,11.38292,6.0614572,10.229088
2,51,0,non farm,Urban,8,11.07295,8.9618788,10.104785
1,48,14,non farm,Urban,4,10.185106,6.4216223,9.0048323
1,40,12,non farm,Urban,6,9.8412485,7.1831117,8.5648279
1,44,5,non farm,Urban,6,10.459379,6.2025356,9.2645035
1,35,11,non farm,Urban,3,10.081455,6.4769726,9.3913059
1,45,17,non farm,Urban,6,10.601248,4.7874918,9.4908228
2,40,9,non farm,Urban,7,10.9884,7.730175,9.6626101
1,28,12,non farm,Urban,6,11.638284,8.0196133,10.486779
1,61,9,non farm,Urban,6,10.646777,6.8134446,8.9994793
2,46,17,non farm,Urban,4,9.8911533,4.7361984,9.028038
1,31,7,non farm,Urban,5,10.389827,8.7895079,9.2837
1,53,5,non farm,Urban,4,9.8514662,,9.0451488
1,69,5,non farm,Urban,8,10.242425,3.9512436,8.7611876
2,62,7,non farm,Urban,3,10.327463,8.0423784,8.7172165
2,36,7,non farm,Urban,5,10.49559,7.6377163,9.2890358
2,52,9,non farm,Urban,8,10.006319,7.5207763,8.9886265
2,57,10,non farm,Urban,6,10.239614,7.4977617,9.2068663
2,30,8,non farm,Urban,6,10.218974,5.9661469,9.1653643
2,67,2,non farm,Urban,6,10.533473,,9.4152536
1,35,9,non farm,Urban,3,9.7328405,,8.5067291
1,51,3,non farm,Urban,8,9.8870096,6.253829,9.0374699
2,42,3,non farm,Urban,4,9.2315264,4.9628448,8.5982113
1,40,0,non farm,Urban,5,9.6454344,6.7615728,8.8791103
1,34,4,non farm,Urban,5,10.513245,6.8023949,9.4795694
1,53,0,non farm,Urban,4,9.9084024,5.5606818,9.2412195
1,51,12,non farm,Urban,4,10.422309,9.5291576,9.0044098
2,72,9,non farm,Urban,4,9.812892,3.2580965,8.4850054
2,46,7,non farm,Urban,7,10.318452,5.5606818,9.2183075
2,62,5,non farm,Urban,3,10.340772,4.0073333,9.0492554
1,34,4,farm,Urban,4,10.142995,,9.6850033
1,38,6,non farm,Urban,4,10.005736,7.134891,9.2911863
2,57,5,non farm,Urban,5,11.169183,6.0306854,9.057353
2,55,2,non farm,Urban,10,10.595,7.1701198,9.2445507
1,38,5,non farm,Urban,8,10.753258,8.317522,9.5096321
2,56,4,non farm,Urban,3,9.8548021,,8.7422876
2,47,15,non farm,Urban,2,9.8695383,,8.6389046
2,56,3,non farm,Urban,11,10.796213,9.6333179,9.594573
2,53,0,non farm,Urban,8,10.007555,,9.1790657
1,63,2,non farm,Urban,5,10.221533,4.8675346,9.1678848
2,49,0,non farm,Urban,2,9.2462177,7.700748,8.4100418
2,53,7,non farm,Urban,4,9.7728767,8.1208858,8.3376226
1,50,5,non farm,Urban,7,10.431953,5.5606818,9.4491873
1,43,6,non farm,Urban,6,10.01717,7.2923369,9.2607822
2,41,8,non farm,Urban,3,9.5707836,8.7958851,8.3241825
1,46,8,non farm,Urban,4,10.170261,7.3349819,9.3821707
2,66,0,non farm,Urban,6,10.21882,10.743114,8.649518
2,49,3,non farm,Urban,5,10.038105,7.2298388,9.4474001
1,66,17,non farm,Urban,5,11.174093,5.768321,9.9035053
2,58,0,non farm,Urban,3,9.489439,,8.8842983
2,35,7,non farm,Urban,4,10.343531,7.5464463,9.6557884
1,58,9,non farm,Urban,6,10.754352,5.5909872,9.7033224
1,48,9,non farm,Urban,9,10.206885,7.9448466,9.4025526
2,54,2,non farm,Urban,3,9.8777943,7.9854841,8.8126001
1,48,9,non farm,Urban,6,9.9632282,8.5387592,9.4576912
2,39,11,non farm,Urban,7,10.781213,8.60886,9.3748484
1,41,12,non farm,Urban,4,9.3353758,5.0498562,8.8287945
1,54,8,non farm,Urban,5,10.879174,6.6592941,9.9177198
1,39,10,non farm,Urban,4,9.7800245,,9.1671438
1,49,7,non farm,Urban,10,11.428346,7.527256,10.541509
1,61,6,non farm,Urban,5,10.970727,8.4398804,10.063769
2,54,2,non farm,Urban,3,9.8518505,6.5792513,9.0894871
2,37,3,non farm,Urban,5,11.115772,7.9120569,9.9977674
1,56,5,non farm,Urban,8,11.199619,3.9120231,10.417128
1,43,15,non farm,Urban,3,11.077031,,10.006127
2,51,15,non farm,Urban,2,9.6863995,5.2729998,8.752265
1,44,17,non farm,Urban,2,11.503869,7.8038435,9.4694643
1,49,13,non farm,Urban,5,10.742305,9.7350693,9.4421711
2,49,3,non farm,Urban,7,10.716984,4.8675346,9.879714
2,38,5,non farm,Urban,6,11.382028,10.03513,9.8377142
1,52,17,non farm,Urban,6,10.44143,9.1997852,9.4490328
1,60,0,non farm,Urban,7,10.482203,4.6051702,9.8977709
2,65,6,non farm,Urban,9,10.826288,7.7706451,9.4858379
2,64,5,non farm,Urban,2,10.407291,7.5735312,9.4299183
2,35,10,non farm,Urban,5,9.6784554,6.6080008,9.1473083
1,64,6,non farm,Urban,10,10.732906,8.3818312,9.8820286
2,44,2,non farm,Urban,6,10.097601,6.7475867,9.3060169
2,59,3,non farm,Urban,2,9.5126705,7.1701198,8.7195539
1,50,10,non farm,Urban,4,10.506383,7.106606,9.468523
1,37,11,non farm,Urban,6,10.536847,5.4553213,9.2391443
1,71,9,non farm,Urban,5,10.970012,8.9914379,9.9290705
1,39,8,non farm,Urban,8,9.5755224,,9.0983
2,49,5,non farm,Urban,5,10.012019,5.5606818,8.988596
1,55,3,non farm,Urban,11,10.568475,3.9512436,9.8800335
1,29,10,non farm,Urban,3,10.692111,,10.072087
1,77,4,non farm,Urban,2,9.9488134,,9.2756739
1,63,5,non farm,Urban,10,10.710096,8.909235,9.9036627
2,64,0,non farm,Urban,1,9.4838238,7.5755849,8.7324619
1,80,5,non farm,Urban,2,10.076679,,8.7595615
2,32,7,non farm,Urban,5,10.443211,6.3935909,9.5858278
2,60,0,non farm,Urban,4,10.362041,7.7689562,9.475503
1,61,3,non farm,Urban,1,10.199867,9.1160297,9.6663113
1,44,11,non farm,Urban,5,10.959344,,10.028718
2,69,3,non farm,Urban,6,10.161504,7.1899223,9.4740763
1,40,12,non farm,Urban,10,10.938264,7.2765565,10.164708
2,49,9,non farm,Urban,6,10.335609,6.7214255,9.6249332
2,35,3,non farm,Urban,2,10.254307,4.2484951,9.0977001
2,48,6,non farm,Urban,3,9.4091158,6.2146082,8.8525934
1,39,16,non farm,Urban,4,10.41381,6.6618547,9.3650665
1,66,2,non farm,Urban,7,10.802363,7.6401234,9.6922493
1,52,5,non farm,Urban,6,10.366706,5.9661469,9.3097277
2,35,3,non farm,Urban,6,9.941041,5.2040067,9.415823
1,47,0,non farm,Urban,6,10.012403,5.8230457,9.1292114
1,66,9,non farm,Urban,9,10.855967,7.818028,9.8172293
1,63,6,non farm,Urban,9,10.838012,7.6202149,9.9080343
2,51,9,non farm,Urban,3,10.993227,7.3932629,9.9769154
1,54,12,non farm,Urban,4,10.078967,5.9814143,9.2049847
1,52,12,non farm,Urban,5,10.869891,8.6741972,9.6796436
2,40,6,non farm,Urban,10,10.918816,6.8134446,10.207633
1,43,20,non farm,Urban,6,11.595938,,10.161274
2,53,3,non farm,Urban,5,9.7956934,7.9355874,9.2243099
1,71,2,non farm,Urban,9,10.709599,4.5108595,9.8443441
2,56,8,non farm,Urban,12,10.858769,8.3790798,10.201092
1,61,9,non farm,Urban,4,10.239448,5.7838254,9.099164
